3015,"SELECT DISTINCT p.objID, p.skyVersion, p.mode, p.clean, p.type, p.ra, p.dec, r, g, i, p.type_r, p.petroRad_r, p.deVRad_r, p.deVAB_r, p.deVPhi_r, p.expRad_r, p.expAB_r, p.expPhi_r, p.lnLExp_r, p.lnLDeV_r, psfMag_r, psffwhm_r, p.type_g, p.petroRad_g, p.deVRad_g, p.deVAB_g, p.deVPhi_g, p.expRad_g, p.expAB_g, p.expPhi_g, p.lnLExp_g, p.lnLDeV_g, psfMag_g, psffwhm_g, p.type_i, p.petroRad_i, p.deVRad_i, p.deVAB_i, p.deVPhi_i, p.expRad_i, p.expAB_i, p.expPhi_i, p.lnLExp_i, p.lnLDeV_i, psfMag_i, psffwhm_i FROM PhotoPrimary AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-05-28 00:00:00,4
2019-05-28 00:01:00,5
2019-05-28 00:02:00,5
2019-05-28 00:03:00,6
2019-05-28 00:04:00,5
2019-05-28 00:05:00,4
2019-05-28 00:06:00,5
2019-05-28 00:07:00,5
2019-05-28 00:08:00,4
2019-05-28 00:09:00,5
2019-05-28 00:10:00,5
2019-05-28 00:11:00,5
2019-05-28 00:12:00,5
2019-05-28 00:13:00,6
2019-05-28 00:14:00,5
2019-05-28 00:15:00,5
2019-05-28 00:16:00,4
2019-05-28 00:17:00,6
2019-05-28 00:18:00,5
2019-05-28 00:19:00,6
2019-05-28 00:20:00,4
2019-05-28 00:21:00,6
2019-05-28 00:22:00,5
2019-05-28 00:23:00,5
2019-05-28 00:24:00,5
2019-05-28 00:25:00,5
2019-05-28 00:26:00,5
2019-05-28 00:27:00,4
2019-05-28 00:28:00,6
2019-05-28 00:29:00,5
2019-05-28 00:30:00,6
2019-05-28 00:31:00,4
2019-05-28 00:32:00,5
2019-05-28 00:33:00,5
2019-05-28 00:34:00,5
2019-05-28 00:35:00,5
2019-05-28 00:36:00,5
2019-05-28 00:37:00,5
2019-05-28 00:38:00,6
2019-05-28 00:39:00,4
2019-05-28 00:40:00,4
2019-05-28 00:41:00,6
2019-05-28 00:42:00,4
2019-05-28 00:43:00,5
2019-05-28 00:44:00,6
2019-05-28 00:45:00,4
2019-05-28 00:46:00,6
2019-05-28 00:47:00,5
2019-05-28 00:48:00,5
2019-05-28 00:49:00,6
2019-05-28 00:50:00,5
2019-05-28 00:51:00,5
2019-05-28 00:52:00,5
2019-05-28 00:53:00,4
2019-05-28 00:54:00,5
2019-05-28 00:55:00,5
2019-05-28 00:56:00,6
2019-05-28 00:57:00,4
2019-05-28 00:58:00,6
2019-05-28 00:59:00,5
2019-05-28 01:00:00,5
2019-05-28 01:01:00,5
2019-05-28 01:02:00,6
2019-05-28 01:03:00,6
2019-05-28 01:04:00,4
2019-05-28 01:05:00,5
2019-05-28 01:06:00,5
2019-05-28 01:07:00,5
2019-05-28 01:08:00,6
2019-05-28 01:09:00,5
2019-05-28 01:10:00,5
2019-05-28 01:11:00,5
2019-05-28 01:12:00,3
2019-05-28 01:13:00,6
2019-05-28 01:14:00,4
2019-05-28 01:15:00,5
2019-05-28 01:16:00,6
2019-05-28 01:57:00,1
2019-05-28 01:58:00,3
2019-05-28 01:59:00,2
2019-05-28 02:00:00,3
2019-05-28 02:01:00,2
2019-05-28 02:02:00,3
2019-05-28 02:03:00,2
2019-05-28 02:04:00,3
2019-05-28 02:05:00,3
2019-05-28 02:06:00,3
2019-05-28 02:07:00,3
2019-05-28 02:08:00,2
2019-05-28 02:09:00,3
2019-05-28 02:10:00,3
2019-05-28 02:11:00,2
2019-05-28 02:12:00,2
2019-05-28 02:13:00,3
2019-05-28 02:14:00,3
2019-05-28 02:15:00,2
2019-05-28 02:16:00,2
2019-05-28 02:17:00,3
2019-05-28 02:18:00,2
2019-05-28 02:19:00,3
2019-05-28 02:20:00,2
2019-05-28 02:21:00,2
2019-05-28 02:22:00,3
2019-05-28 02:23:00,3
2019-05-28 02:24:00,3
2019-05-28 02:25:00,2
2019-05-28 02:26:00,2
2019-05-28 02:27:00,3
2019-05-28 02:28:00,2
2019-05-28 02:29:00,3
2019-05-28 02:30:00,3
2019-05-28 02:31:00,3
2019-05-28 02:32:00,2
2019-05-28 02:33:00,3
2019-05-28 02:34:00,2
2019-05-28 02:35:00,3
2019-05-28 02:36:00,2
2019-05-28 02:37:00,3
2019-05-28 02:38:00,2
2019-05-28 02:39:00,2
2019-05-28 02:40:00,3
2019-05-28 02:41:00,2
2019-05-28 02:42:00,3
2019-05-28 02:43:00,2
2019-05-28 02:44:00,3
2019-05-28 02:45:00,2
2019-05-28 02:46:00,1
2019-05-28 02:47:00,3
2019-05-28 02:48:00,2
2019-05-28 02:49:00,3
2019-05-28 02:50:00,3
2019-05-28 02:51:00,2
2019-05-28 02:52:00,2
2019-05-28 02:53:00,3
2019-05-28 02:54:00,3
2019-05-28 02:55:00,2
2019-05-28 02:56:00,3
2019-05-28 02:57:00,2
2019-05-28 02:58:00,3
2019-05-28 02:59:00,2
2019-05-28 03:00:00,3
2019-05-28 03:01:00,2
2019-05-28 03:02:00,3
2019-05-28 03:03:00,2
2019-05-28 03:04:00,2
2019-05-28 03:05:00,2
2019-05-28 03:06:00,3
2019-05-28 03:07:00,2
2019-05-28 03:08:00,3
2019-05-28 03:09:00,3
2019-05-28 03:10:00,2
2019-05-28 03:11:00,3
2019-05-28 03:12:00,2
2019-05-28 03:13:00,4
2019-05-28 03:14:00,2
2019-05-28 03:15:00,2
2019-05-28 03:16:00,3
2019-05-28 03:17:00,3
2019-05-28 03:18:00,2
2019-05-28 03:19:00,2
2019-05-28 03:20:00,3
2019-05-28 03:21:00,2
2019-05-28 03:22:00,3
2019-05-28 03:23:00,3
2019-05-28 03:24:00,2
2019-05-28 03:25:00,3
2019-05-28 03:26:00,2
2019-05-28 03:27:00,3
2019-05-28 03:28:00,2
2019-05-28 03:29:00,3
2019-05-28 03:30:00,2
2019-05-28 03:31:00,2
2019-05-28 03:32:00,3
2019-05-28 03:33:00,2
2019-05-28 03:34:00,3
2019-05-28 03:35:00,3
2019-05-28 03:36:00,2
2019-05-28 03:37:00,3
2019-05-28 03:38:00,3
2019-05-28 03:39:00,2
2019-05-28 03:40:00,3
2019-05-28 03:41:00,2
2019-05-28 03:42:00,3
2019-05-28 03:43:00,2
2019-05-28 03:44:00,3
2019-05-28 03:45:00,2
2019-05-28 03:46:00,3
2019-05-28 03:47:00,2
2019-05-28 03:48:00,3
2019-05-28 03:49:00,3
2019-05-28 03:50:00,3
2019-05-28 03:51:00,2
2019-05-28 03:52:00,3
2019-05-28 03:53:00,3
2019-05-28 03:54:00,2
2019-05-28 03:55:00,3
2019-05-28 03:56:00,3
2019-05-28 03:57:00,2
2019-05-28 03:58:00,3
2019-05-28 03:59:00,2
2019-05-28 04:00:00,3
2019-05-28 04:01:00,3
2019-05-28 04:02:00,2
2019-05-28 04:03:00,2
2019-05-28 04:04:00,2
2019-05-28 04:05:00,3
2019-05-28 04:06:00,3
2019-05-28 04:07:00,3
2019-05-28 04:08:00,2
2019-05-28 04:09:00,2
2019-05-28 04:10:00,3
2019-05-28 04:11:00,2
2019-05-28 04:12:00,3
2019-05-28 04:13:00,2
