3,"SELECT    s.specObjID, s.ra, s.dec, s.z, s.zErr, s.class, s.zWarning, s.snMedian, g.ra, g.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.petroR5#_u, p.petroR5#_g, p.petroR5#_r, p.petroR5#_i, p.petroR5#_z, p.petroR9#_u, p.petroR9#_g, p.petroR9#_r, p.petroR9#_i, p.petroR9#_z into mydb.result2_zoo2 from mydb.zoo2Main as g   CROSS APPLY dbo.fGetNearestSpecObjEq( g.ra, g.dec, #) AS near    JOIN SpecObjAll as s ON near.specObjID=s.specObjID   JOIN PhotoObjAll as p ON p.objID = s.bestObjID"
2019-05-28 10:06:00,2
2019-05-28 10:42:00,1
