7450,"SELECT TOP # P.ra, P.dec, P.psfMag_u, P.psfMagErr_u, P.petroMag_u, P.petroMagErr_u, P.modelMag_u, P.modelMagErr_u, P.psfMag_g, P.psfMagErr_g, P.petroMag_g, P.petroMagErr_g, P.modelMag_g, P.modelMagErr_g, P.psfMag_r, P.psfMagErr_r, P.petroMag_r, P.petroMagErr_r, P.modelMag_r, P.modelMagErr_r, P.psfMag_i, P.psfMagErr_i, P.petroMag_i, P.petroMagErr_i, P.modelMag_i, P.modelMagErr_i, P.psfMag_z, P.psfMagErr_z, P.petroMag_z, P.petroMagErr_z, P.modelMag_z, P.modelMagErr_z, P.expAB_r, P.expPhi_r, P.expRad_r FROM PhotoPrimary as P JOIN dbo.fGetNearbyObjEq(#,#, #) AS PN ON P.objID = PN.objID ORDER BY distance"
2019-05-28 20:16:00,57
2019-05-28 20:17:00,181
2019-05-28 20:18:00,164
2019-05-28 20:19:00,149
2019-05-28 20:20:00,188
2019-05-28 20:21:00,202
2019-05-28 20:22:00,47
2019-05-28 20:28:00,66
2019-05-28 20:29:00,96
2019-05-28 20:30:00,127
2019-05-28 20:31:00,79
2019-05-28 20:32:00,117
2019-05-28 20:33:00,159
2019-05-28 20:34:00,178
2019-05-28 20:35:00,171
2019-05-28 20:36:00,120
2019-05-28 20:37:00,196
2019-05-28 20:38:00,169
2019-05-28 20:39:00,143
2019-05-28 20:40:00,149
2019-05-28 20:41:00,122
2019-05-28 20:42:00,191
2019-05-28 20:43:00,126
2019-05-28 20:44:00,175
2019-05-28 20:45:00,177
2019-05-28 20:46:00,148
2019-05-28 20:47:00,146
2019-05-28 20:48:00,168
2019-05-28 20:49:00,171
2019-05-28 20:50:00,171
2019-05-28 20:51:00,161
2019-05-28 20:52:00,180
2019-05-28 20:53:00,89
2019-05-28 20:54:00,92
2019-05-28 20:55:00,103
2019-05-28 20:56:00,127
2019-05-28 20:57:00,109
2019-05-28 20:58:00,103
2019-05-28 20:59:00,76
2019-05-28 21:00:00,99
2019-05-28 21:01:00,79
2019-05-28 21:02:00,93
2019-05-28 21:03:00,103
2019-05-28 21:04:00,109
2019-05-28 21:05:00,108
2019-05-28 21:06:00,111
2019-05-28 21:07:00,96
2019-05-28 21:08:00,105
2019-05-28 21:09:00,112
2019-05-28 21:10:00,110
2019-05-28 21:11:00,97
2019-05-28 21:12:00,104
2019-05-28 21:13:00,97
2019-05-28 21:14:00,105
2019-05-28 21:15:00,104
2019-05-28 21:16:00,118
2019-05-28 21:17:00,62
2019-05-28 21:18:00,83
2019-05-28 21:19:00,132
2019-05-28 21:20:00,30
