19,"select s.modelMag_u, s.modelMag_g, s.modelMag_r, s.modelMag_i, s.modelMag_z, s.ra, s.dec, s.z, s.ObjID, s.mjd, s.plate, s.fiberID from SpecPhotoAll as s, dbo.fGetNearbyObjEq(#,#,#) n where s.objID = n.objID and s.class = &&& and s.z between # and #"
2019-06-02 08:53:00,1
2019-06-02 08:57:00,1
2019-06-02 09:02:00,1
2019-06-02 09:06:00,1
2019-06-02 09:14:00,1
2019-06-02 09:24:00,1
2019-06-02 09:30:00,1
2019-06-02 09:33:00,1
2019-06-02 09:37:00,1
2019-06-02 09:40:00,1
2019-06-02 09:43:00,1
2019-06-02 09:48:00,1
2019-06-02 09:51:00,1
2019-06-02 09:56:00,1
2019-06-02 10:15:00,1
2019-06-02 22:32:00,1
2019-06-02 22:36:00,1
2019-06-02 22:44:00,1
2019-06-02 23:21:00,1
