971,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-06-02 14:10:00,11
2019-06-02 14:13:00,15
2019-06-02 14:22:00,87
2019-06-02 14:23:00,92
2019-06-02 14:31:00,48
2019-06-02 14:33:00,32
2019-06-02 14:34:00,47
2019-06-02 14:35:00,29
2019-06-02 14:55:00,61
2019-06-02 14:56:00,119
2019-06-02 15:11:00,41
2019-06-02 15:21:00,31
2019-06-02 15:24:00,15
2019-06-02 15:25:00,4
2019-06-02 16:05:00,21
2019-06-02 16:06:00,5
2019-06-02 16:08:00,58
2019-06-02 16:35:00,21
2019-06-02 16:54:00,80
2019-06-02 16:55:00,154
