16,"SELECT TOP #  cast(str(p.ra,#,#) as float) as ra,cast(str(p.[dec],#,#) as float) as dec,p.psfMag_u,p.psfMag_g,p.psfMag_r,p.psfMag_i,p.psfMag_z,p.psfMagErr_u,p.psfMagErr_g,p.psfMagErr_r,p.psfMagErr_i,p.psfMagErr_z  FROM ..Star AS p  JOIN dbo.fGetNearbyObjEq(#,#,#) AS b ON b.objID = P.objID  WHERE p.psfMag_u < # AND p.psfMag_g < # AND p.psfMag_r < # AND p.psfMag_i < # AND p.psfMag_z < #"
2019-06-02 07:11:00,1
2019-06-02 07:47:00,1
2019-06-02 07:48:00,1
2019-06-02 07:49:00,2
2019-06-02 07:51:00,2
2019-06-02 07:53:00,1
2019-06-02 08:16:00,2
2019-06-02 12:10:00,1
2019-06-02 12:27:00,1
2019-06-02 12:29:00,2
2019-06-02 12:31:00,1
2019-06-02 12:36:00,1
