52,select * from fDocFunctionParams(&&&)
2019-04-17 07:03:00,1
2019-04-17 07:24:00,1
2019-04-17 07:45:00,1
2019-04-17 08:26:00,1
2019-04-17 08:32:00,1
2019-04-17 09:02:00,1
2019-04-17 10:07:00,1
2019-04-17 10:18:00,1
2019-04-17 10:33:00,1
2019-04-17 10:39:00,1
2019-04-17 11:23:00,2
2019-04-17 11:24:00,2
2019-04-17 11:25:00,1
2019-04-17 11:26:00,1
2019-04-17 11:27:00,1
2019-04-17 11:29:00,2
2019-04-17 11:30:00,2
2019-04-17 11:31:00,1
2019-04-17 11:32:00,1
2019-04-17 11:40:00,1
2019-04-17 11:54:00,1
2019-04-17 11:56:00,1
2019-04-17 12:04:00,1
2019-04-17 12:11:00,1
2019-04-17 12:41:00,3
2019-04-17 13:11:00,1
2019-04-17 13:54:00,1
2019-04-17 14:03:00,1
2019-04-17 14:05:00,2
2019-04-17 16:20:00,1
2019-04-17 16:58:00,1
2019-04-17 17:38:00,1
2019-04-17 18:14:00,1
2019-04-17 18:51:00,1
2019-04-17 18:56:00,2
2019-04-17 18:57:00,1
2019-04-17 19:17:00,1
2019-04-17 20:16:00,2
2019-04-17 21:40:00,1
2019-04-17 21:59:00,1
2019-04-17 22:37:00,1
2019-04-17 22:39:00,1
2019-04-17 23:49:00,1
