30,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid=s.bestobjid and (p.g BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-04-17 04:14:00,1
2019-04-17 04:23:00,1
2019-04-17 04:27:00,1
2019-04-17 04:33:00,1
2019-04-17 04:36:00,1
2019-04-17 04:40:00,1
2019-04-17 04:44:00,1
2019-04-17 04:47:00,1
2019-04-17 05:01:00,1
2019-04-17 05:07:00,1
2019-04-17 05:12:00,1
2019-04-17 14:21:00,1
2019-04-17 14:25:00,1
2019-04-17 14:32:00,1
2019-04-17 14:33:00,1
2019-04-17 15:32:00,1
2019-04-17 15:41:00,1
2019-04-17 15:44:00,1
2019-04-17 15:50:00,1
2019-04-17 15:51:00,1
2019-04-17 15:57:00,1
2019-04-17 16:00:00,1
2019-04-17 16:26:00,1
2019-04-17 16:35:00,1
2019-04-17 16:43:00,1
2019-04-17 18:14:00,1
2019-04-17 18:28:00,1
2019-04-17 18:40:00,1
2019-04-17 18:43:00,1
2019-04-17 18:53:00,1
