541,"select ra,dec, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < #"
2019-04-17 14:43:00,1
2019-04-17 14:44:00,13
2019-04-17 14:45:00,12
2019-04-17 14:46:00,16
2019-04-17 14:47:00,15
2019-04-17 14:48:00,21
2019-04-17 14:49:00,14
2019-04-17 14:50:00,14
2019-04-17 14:51:00,14
2019-04-17 14:52:00,18
2019-04-17 14:53:00,14
2019-04-17 14:54:00,14
2019-04-17 14:55:00,12
2019-04-17 14:56:00,15
2019-04-17 14:57:00,15
2019-04-17 14:58:00,13
2019-04-17 14:59:00,18
2019-04-17 15:00:00,22
2019-04-17 15:01:00,19
2019-04-17 15:02:00,19
2019-04-17 15:03:00,19
2019-04-17 15:04:00,19
2019-04-17 15:05:00,11
2019-04-17 15:06:00,17
2019-04-17 15:07:00,17
2019-04-17 15:08:00,13
2019-04-17 15:09:00,15
2019-04-17 15:10:00,16
2019-04-17 15:11:00,13
2019-04-17 15:12:00,16
2019-04-17 15:13:00,14
2019-04-17 15:14:00,14
2019-04-17 15:15:00,12
2019-04-17 15:16:00,12
2019-04-17 15:17:00,12
2019-04-17 15:18:00,10
2019-04-17 15:19:00,12
