75,select distinct parent from DBViewCols where viewname=&&&
2019-04-17 00:34:00,1
2019-04-17 01:16:00,2
2019-04-17 01:17:00,1
2019-04-17 01:32:00,1
2019-04-17 01:41:00,1
2019-04-17 01:45:00,1
2019-04-17 01:46:00,1
2019-04-17 01:47:00,1
2019-04-17 01:48:00,1
2019-04-17 01:50:00,1
2019-04-17 01:54:00,1
2019-04-17 01:55:00,1
2019-04-17 02:16:00,1
2019-04-17 05:13:00,1
2019-04-17 07:14:00,1
2019-04-17 08:58:00,1
2019-04-17 09:31:00,1
2019-04-17 10:19:00,1
2019-04-17 10:37:00,1
2019-04-17 10:44:00,2
2019-04-17 10:50:00,1
2019-04-17 11:01:00,1
2019-04-17 11:02:00,1
2019-04-17 11:03:00,1
2019-04-17 11:33:00,2
2019-04-17 11:37:00,5
2019-04-17 11:44:00,1
2019-04-17 11:50:00,1
2019-04-17 11:59:00,1
2019-04-17 12:30:00,1
2019-04-17 13:42:00,2
2019-04-17 14:47:00,1
2019-04-17 14:51:00,1
2019-04-17 14:52:00,2
2019-04-17 15:08:00,2
2019-04-17 17:24:00,1
2019-04-17 17:25:00,6
2019-04-17 17:26:00,11
2019-04-17 17:27:00,2
2019-04-17 17:30:00,1
2019-04-17 18:02:00,1
2019-04-17 18:41:00,1
2019-04-17 18:53:00,1
2019-04-17 20:50:00,1
2019-04-17 21:14:00,1
2019-04-17 22:02:00,1
2019-04-17 22:44:00,1
2019-04-17 23:17:00,1
2019-04-17 23:40:00,1
