2,"SELECT p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,p.deVPhi_r,p.deVAB_r,s.z,q.z into mydb.MyTable from PhotoObjAll AS p  JOIN Photoz AS s ON p.objid = s.objid  JOIN SpecObjAll AS q ON p.specobjid = q.specobjid  WHERE  (((p.ra BETWEEN # AND #) AND (p.dec BETWEEN  # AND # )))   AND p.r<#"
2019-04-17 07:00:00,1
2019-04-17 07:01:00,1
