19,"select ra,dec, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r from star as s where ra between # and # and dec between #e-# and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < #"
2019-04-17 14:43:00,1
2019-04-17 14:45:00,1
2019-04-17 14:47:00,1
2019-04-17 14:49:00,1
2019-04-17 14:58:00,1
2019-04-17 15:00:00,2
2019-04-17 15:02:00,1
2019-04-17 15:03:00,1
2019-04-17 15:08:00,2
2019-04-17 15:09:00,1
2019-04-17 15:11:00,2
2019-04-17 15:15:00,1
2019-04-17 15:16:00,1
2019-04-17 15:17:00,1
2019-04-17 15:18:00,1
2019-04-17 15:19:00,1
