120,select * from dbo.fDocColumns(&&&)
2019-04-17 01:24:00,1
2019-04-17 01:31:00,1
2019-04-17 01:32:00,1
2019-04-17 01:40:00,1
2019-04-17 01:41:00,1
2019-04-17 01:44:00,1
2019-04-17 01:45:00,1
2019-04-17 01:46:00,1
2019-04-17 01:47:00,1
2019-04-17 01:48:00,1
2019-04-17 01:50:00,1
2019-04-17 01:54:00,1
2019-04-17 01:55:00,1
2019-04-17 02:16:00,1
2019-04-17 02:37:00,1
2019-04-17 02:39:00,2
2019-04-17 02:41:00,2
2019-04-17 03:16:00,1
2019-04-17 04:46:00,1
2019-04-17 05:13:00,1
2019-04-17 06:07:00,2
2019-04-17 06:59:00,2
2019-04-17 08:25:00,1
2019-04-17 08:58:00,1
2019-04-17 09:31:00,1
2019-04-17 09:43:00,1
2019-04-17 09:47:00,1
2019-04-17 10:06:00,1
2019-04-17 10:19:00,1
2019-04-17 10:37:00,1
2019-04-17 10:50:00,1
2019-04-17 11:33:00,3
2019-04-17 11:44:00,1
2019-04-17 11:59:00,1
2019-04-17 12:04:00,1
2019-04-17 12:10:00,1
2019-04-17 12:16:00,1
2019-04-17 12:20:00,1
2019-04-17 12:21:00,1
2019-04-17 13:11:00,1
2019-04-17 13:12:00,1
2019-04-17 13:26:00,1
2019-04-17 13:45:00,1
2019-04-17 13:46:00,1
2019-04-17 14:00:00,1
2019-04-17 14:01:00,2
2019-04-17 14:05:00,1
2019-04-17 14:41:00,1
2019-04-17 15:02:00,1
2019-04-17 15:07:00,1
2019-04-17 15:25:00,2
2019-04-17 15:50:00,1
2019-04-17 15:51:00,1
2019-04-17 15:52:00,2
2019-04-17 16:03:00,1
2019-04-17 16:59:00,1
2019-04-17 17:08:00,3
2019-04-17 17:30:00,2
2019-04-17 17:35:00,1
2019-04-17 17:37:00,1
2019-04-17 18:12:00,1
2019-04-17 18:26:00,1
2019-04-17 18:32:00,1
2019-04-17 18:34:00,4
2019-04-17 18:41:00,1
2019-04-17 18:52:00,1
2019-04-17 18:53:00,1
2019-04-17 19:02:00,2
2019-04-17 19:03:00,2
2019-04-17 19:18:00,2
2019-04-17 19:19:00,1
2019-04-17 19:27:00,1
2019-04-17 19:32:00,2
2019-04-17 19:41:00,2
2019-04-17 20:01:00,2
2019-04-17 20:08:00,1
2019-04-17 20:16:00,1
2019-04-17 20:32:00,2
2019-04-17 20:35:00,1
2019-04-17 20:36:00,3
2019-04-17 20:37:00,1
2019-04-17 20:50:00,1
2019-04-17 21:09:00,1
2019-04-17 21:11:00,1
2019-04-17 21:14:00,1
2019-04-17 22:02:00,1
2019-04-17 22:09:00,2
2019-04-17 22:17:00,2
2019-04-17 22:39:00,2
2019-04-17 22:44:00,1
2019-04-17 23:17:00,1
2019-04-17 23:40:00,1
2019-04-17 23:57:00,1
