121,"select p.run, p.camcol, p.field from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-04-15 00:11:00,2
2019-04-15 00:12:00,1
2019-04-15 00:13:00,1
2019-04-15 00:52:00,2
2019-04-15 00:53:00,2
2019-04-15 00:54:00,2
2019-04-15 00:55:00,4
2019-04-15 00:57:00,2
2019-04-15 01:00:00,2
2019-04-15 01:13:00,4
2019-04-15 01:14:00,2
2019-04-15 01:15:00,4
2019-04-15 01:18:00,2
2019-04-15 01:21:00,2
2019-04-15 01:44:00,4
2019-04-15 01:45:00,2
2019-04-15 01:46:00,4
2019-04-15 01:49:00,2
2019-04-15 01:52:00,2
2019-04-15 01:59:00,4
2019-04-15 02:00:00,6
2019-04-15 02:02:00,2
2019-04-15 02:04:00,2
2019-04-15 02:13:00,4
2019-04-15 02:14:00,6
2019-04-15 02:16:00,1
2019-04-15 02:18:00,2
2019-04-15 02:27:00,3
2019-04-15 02:28:00,2
2019-04-15 02:31:00,1
2019-04-15 02:32:00,2
2019-04-15 02:58:00,6
2019-04-15 02:59:00,4
2019-04-15 03:01:00,1
2019-04-15 03:03:00,2
2019-04-15 03:25:00,4
2019-04-15 03:27:00,4
2019-04-15 03:28:00,2
2019-04-15 03:30:00,2
2019-04-15 03:31:00,2
2019-04-15 03:54:00,2
2019-04-15 03:55:00,8
2019-04-15 03:57:00,1
2019-04-15 03:59:00,2
