107,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-04-15 06:15:00,1
2019-04-15 06:20:00,1
2019-04-15 07:15:00,5
2019-04-15 07:20:00,5
2019-04-15 10:45:00,3
2019-04-15 10:50:00,1
2019-04-15 11:15:00,1
2019-04-15 11:40:00,1
2019-04-15 11:55:00,9
2019-04-15 12:00:00,1
2019-04-15 12:05:00,19
2019-04-15 12:10:00,1
2019-04-15 12:15:00,1
2019-04-15 12:20:00,1
2019-04-15 14:03:00,1
2019-04-15 14:05:00,7
2019-04-15 14:10:00,1
2019-04-15 14:16:00,1
2019-04-15 14:20:00,3
2019-04-15 14:24:00,1
2019-04-15 14:33:00,1
2019-04-15 14:35:00,1
2019-04-15 14:41:00,1
2019-04-15 14:48:00,1
2019-04-15 14:56:00,1
2019-04-15 15:10:00,2
2019-04-15 15:30:00,4
2019-04-15 15:35:00,1
2019-04-15 16:40:00,6
2019-04-15 16:45:00,4
2019-04-15 17:03:00,1
2019-04-15 17:05:00,6
2019-04-15 17:09:00,1
2019-04-15 17:15:00,4
2019-04-15 17:16:00,1
2019-04-15 17:22:00,1
2019-04-15 17:25:00,2
2019-04-15 17:29:00,1
2019-04-15 17:38:00,1
2019-04-15 17:48:00,1
2019-04-15 22:05:00,1
2019-04-15 22:10:00,1
