22,"SELECT TOP # objid,ra,dec,u,g,r, i,z FROM Star WHERE r BETWEEN # AND # AND ra between # and # AND dec between # and #"
2019-04-15 18:57:00,1
2019-04-15 19:05:00,1
2019-04-15 19:39:00,1
2019-04-15 19:49:00,1
2019-04-15 19:59:00,1
2019-04-15 20:02:00,1
2019-04-15 20:09:00,1
2019-04-15 20:12:00,1
2019-04-15 20:39:00,1
2019-04-15 20:41:00,1
2019-04-15 20:47:00,1
2019-04-15 21:14:00,1
2019-04-15 21:18:00,2
2019-04-15 21:23:00,1
2019-04-15 21:29:00,1
2019-04-15 21:37:00,1
2019-04-15 21:38:00,1
2019-04-15 21:39:00,1
2019-04-15 21:41:00,3
