112,"SELECT p.ra,p.dec,p.raErr,p.decErr,p.objId,p.run,p.rerun,p.camcol,p.field,dbo.fPhotoModeN(mode) as mode,nChild,dbo.fPhotoTypeN(p.type) as type,clean,flags,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,mjd,distance FROM PhotoObj as p JOIN dbo.fGetNearbyObjEq(#,#,#) AS R ON P.objID=R.objID ORDER BY distance"
2019-09-05 00:42:00,1
2019-09-05 00:44:00,1
2019-09-05 00:55:00,1
2019-09-05 01:00:00,2
2019-09-05 01:02:00,1
2019-09-05 01:16:00,1
2019-09-05 01:25:00,1
2019-09-05 01:30:00,1
2019-09-05 01:37:00,1
2019-09-05 01:55:00,1
2019-09-05 02:11:00,1
2019-09-05 02:12:00,1
2019-09-05 02:20:00,1
2019-09-05 02:23:00,3
2019-09-05 02:34:00,1
2019-09-05 02:37:00,1
2019-09-05 02:41:00,1
2019-09-05 02:43:00,1
2019-09-05 02:55:00,2
2019-09-05 03:00:00,1
2019-09-05 03:17:00,1
2019-09-05 03:37:00,1
2019-09-05 03:45:00,2
2019-09-05 04:06:00,1
2019-09-05 04:28:00,1
2019-09-05 04:43:00,1
2019-09-05 04:44:00,1
2019-09-05 05:11:00,1
2019-09-05 05:55:00,1
2019-09-05 05:56:00,1
2019-09-05 06:15:00,1
2019-09-05 07:14:00,1
2019-09-05 07:19:00,1
2019-09-05 08:31:00,1
2019-09-05 08:33:00,2
2019-09-05 08:35:00,1
2019-09-05 08:50:00,1
2019-09-05 09:00:00,2
2019-09-05 09:03:00,1
2019-09-05 09:05:00,1
2019-09-05 09:10:00,1
2019-09-05 09:18:00,1
2019-09-05 10:14:00,1
2019-09-05 11:50:00,1
2019-09-05 11:55:00,1
2019-09-05 11:57:00,1
2019-09-05 12:25:00,1
2019-09-05 12:39:00,1
2019-09-05 12:47:00,1
2019-09-05 13:12:00,1
2019-09-05 13:15:00,1
2019-09-05 13:21:00,1
2019-09-05 13:27:00,1
2019-09-05 13:28:00,1
2019-09-05 13:40:00,2
2019-09-05 13:49:00,1
2019-09-05 14:14:00,1
2019-09-05 14:17:00,1
2019-09-05 14:18:00,1
2019-09-05 14:55:00,1
2019-09-05 15:23:00,1
2019-09-05 15:27:00,1
2019-09-05 15:29:00,1
2019-09-05 15:32:00,1
2019-09-05 15:34:00,1
2019-09-05 15:40:00,1
2019-09-05 15:46:00,1
2019-09-05 15:49:00,1
2019-09-05 16:01:00,1
2019-09-05 16:14:00,1
2019-09-05 16:30:00,1
2019-09-05 16:52:00,1
2019-09-05 16:54:00,1
2019-09-05 16:58:00,1
2019-09-05 17:03:00,1
2019-09-05 17:05:00,2
2019-09-05 17:07:00,2
2019-09-05 17:08:00,1
2019-09-05 17:13:00,1
2019-09-05 17:15:00,1
2019-09-05 17:18:00,1
2019-09-05 17:19:00,1
2019-09-05 17:20:00,1
2019-09-05 17:29:00,1
2019-09-05 17:31:00,1
2019-09-05 17:33:00,1
2019-09-05 17:41:00,1
2019-09-05 17:56:00,1
2019-09-05 17:58:00,1
2019-09-05 18:01:00,1
2019-09-05 18:02:00,1
2019-09-05 18:05:00,1
2019-09-05 18:17:00,1
2019-09-05 18:23:00,1
2019-09-05 18:56:00,1
2019-09-05 19:09:00,1
2019-09-05 19:10:00,1
2019-09-05 19:16:00,1
2019-09-05 19:23:00,1
2019-09-05 20:10:00,1
2019-09-05 22:38:00,1
2019-09-05 23:57:00,1
