506,"select                                                                                               N.objID, N.run, N.camcol, N.field, N.rerun, N.type,                                                    po.petroR9#_r, po.petroR5#_r, po.expAB_r, po.deVAB_r, po.expPhi_r, po.deVPhi_r, po.phioffset_r,        po.petroR9#_g, po.petroR5#_g, po.expAB_g, po.deVAB_g, po.expPhi_g, po.deVPhi_g, po.phioffset_r,        po.ra as ra2, po.dec as dec2,                                                                          sp.specObjID, sp.z as z2                                                                        from                                                                                                          SpecPhotoAll sp, PhotoObjAll po, dbo.fGetNearestObjEq(#,#,#/#.) as N                         where                                                                                                         N.objID = sp.objID and                                                                                 N.objID = po.objID"
2019-09-05 16:20:00,11
2019-09-05 16:21:00,25
2019-09-05 16:22:00,24
2019-09-05 16:23:00,25
2019-09-05 16:24:00,24
2019-09-05 16:25:00,24
2019-09-05 16:26:00,24
2019-09-05 16:27:00,26
2019-09-05 16:28:00,24
2019-09-05 16:29:00,25
2019-09-05 16:30:00,24
2019-09-05 16:31:00,24
2019-09-05 16:32:00,24
2019-09-05 16:33:00,23
2019-09-05 16:34:00,24
2019-09-05 16:35:00,24
2019-09-05 16:36:00,24
2019-09-05 16:37:00,24
2019-09-05 16:38:00,13
2019-09-05 17:41:00,5
2019-09-05 17:49:00,6
2019-09-05 17:52:00,2
2019-09-05 17:53:00,11
2019-09-05 17:54:00,7
2019-09-05 17:55:00,10
2019-09-05 17:56:00,2
2019-09-05 17:57:00,9
2019-09-05 17:58:00,10
2019-09-05 18:00:00,1
2019-09-05 18:05:00,1
2019-09-05 18:07:00,1
2019-09-05 18:16:00,1
2019-09-05 18:17:00,1
2019-09-05 18:28:00,1
2019-09-05 18:29:00,1
2019-09-05 18:30:00,1
