3094,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE (p.run=# AND p.camcol=# AND p.field=# AND p.rerun=#)"
2019-09-05 00:02:00,1
2019-09-05 00:05:00,1
2019-09-05 00:08:00,1
2019-09-05 00:11:00,1
2019-09-05 00:14:00,1
2019-09-05 00:17:00,1
2019-09-05 00:20:00,1
2019-09-05 00:24:00,1
2019-09-05 00:27:00,1
2019-09-05 00:30:00,1
2019-09-05 00:34:00,1
2019-09-05 00:37:00,1
2019-09-05 00:40:00,1
2019-09-05 00:43:00,1
2019-09-05 00:46:00,1
2019-09-05 00:48:00,1
2019-09-05 00:51:00,1
2019-09-05 00:54:00,1
2019-09-05 00:58:00,1
2019-09-05 01:02:00,1
2019-09-05 01:05:00,1
2019-09-05 01:08:00,1
2019-09-05 01:11:00,1
2019-09-05 01:15:00,1
2019-09-05 01:18:00,1
2019-09-05 01:21:00,1
2019-09-05 01:24:00,1
2019-09-05 01:28:00,1
2019-09-05 01:31:00,1
2019-09-05 01:33:00,1
2019-09-05 01:37:00,1
2019-09-05 01:40:00,1
2019-09-05 01:42:00,1
2019-09-05 01:46:00,1
2019-09-05 01:50:00,1
2019-09-05 01:53:00,1
2019-09-05 01:56:00,1
2019-09-05 01:59:00,1
2019-09-05 02:03:00,1
2019-09-05 02:08:00,1
2019-09-05 02:12:00,1
2019-09-05 02:15:00,1
2019-09-05 02:19:00,1
2019-09-05 02:23:00,1
2019-09-05 02:26:00,1
2019-09-05 02:30:00,1
2019-09-05 02:33:00,1
2019-09-05 02:36:00,1
2019-09-05 02:39:00,1
2019-09-05 02:42:00,1
2019-09-05 02:45:00,1
2019-09-05 02:48:00,1
2019-09-05 02:51:00,1
2019-09-05 02:54:00,1
2019-09-05 02:57:00,1
2019-09-05 03:01:00,1
2019-09-05 03:04:00,1
2019-09-05 03:07:00,1
2019-09-05 03:11:00,1
2019-09-05 03:14:00,1
2019-09-05 03:18:00,1
2019-09-05 03:21:00,1
2019-09-05 03:25:00,1
2019-09-05 03:28:00,1
2019-09-05 03:32:00,1
2019-09-05 03:34:00,1
2019-09-05 03:37:00,1
2019-09-05 03:41:00,1
2019-09-05 03:44:00,1
2019-09-05 03:45:00,1
2019-09-05 03:46:00,3
2019-09-05 03:47:00,3
2019-09-05 03:48:00,3
2019-09-05 03:49:00,3
2019-09-05 03:50:00,2
2019-09-05 03:51:00,3
2019-09-05 03:52:00,3
2019-09-05 03:53:00,2
2019-09-05 03:54:00,3
2019-09-05 03:55:00,3
2019-09-05 03:56:00,2
2019-09-05 03:57:00,3
2019-09-05 03:58:00,3
2019-09-05 03:59:00,2
2019-09-05 04:00:00,4
2019-09-05 04:01:00,3
2019-09-05 04:02:00,3
2019-09-05 04:03:00,3
2019-09-05 04:04:00,3
2019-09-05 04:05:00,2
2019-09-05 04:06:00,3
2019-09-05 04:07:00,1
2019-09-05 04:08:00,2
2019-09-05 04:09:00,32
2019-09-05 04:10:00,38
2019-09-05 04:11:00,38
2019-09-05 04:12:00,38
2019-09-05 04:13:00,37
2019-09-05 04:14:00,10
2019-09-05 04:19:00,19
2019-09-05 04:20:00,39
2019-09-05 04:21:00,40
2019-09-05 04:22:00,35
2019-09-05 04:23:00,36
2019-09-05 04:24:00,33
2019-09-05 04:25:00,35
2019-09-05 04:26:00,39
2019-09-05 04:27:00,37
2019-09-05 04:28:00,37
2019-09-05 04:29:00,33
2019-09-05 04:30:00,37
2019-09-05 04:31:00,39
2019-09-05 04:32:00,36
2019-09-05 04:33:00,34
2019-09-05 04:34:00,16
2019-09-05 04:35:00,37
2019-09-05 04:36:00,39
2019-09-05 04:37:00,38
2019-09-05 04:38:00,40
2019-09-05 04:39:00,36
2019-09-05 04:40:00,37
2019-09-05 04:41:00,35
2019-09-05 04:42:00,36
2019-09-05 04:43:00,31
2019-09-05 04:44:00,34
2019-09-05 04:45:00,37
2019-09-05 04:46:00,24
2019-09-05 04:47:00,2
2019-09-05 04:48:00,30
2019-09-05 04:49:00,28
2019-09-05 04:50:00,33
2019-09-05 04:51:00,35
2019-09-05 04:52:00,33
2019-09-05 04:53:00,31
2019-09-05 04:54:00,37
2019-09-05 04:55:00,34
2019-09-05 04:56:00,33
2019-09-05 04:57:00,38
2019-09-05 04:58:00,35
2019-09-05 04:59:00,33
2019-09-05 05:00:00,23
2019-09-05 05:01:00,30
2019-09-05 05:02:00,25
2019-09-05 05:03:00,31
2019-09-05 05:04:00,34
2019-09-05 05:05:00,32
2019-09-05 05:06:00,35
2019-09-05 05:07:00,34
2019-09-05 05:08:00,30
2019-09-05 05:09:00,34
2019-09-05 05:10:00,33
2019-09-05 05:11:00,36
2019-09-05 05:12:00,34
2019-09-05 05:13:00,35
2019-09-05 05:14:00,33
2019-09-05 05:15:00,36
2019-09-05 05:16:00,35
2019-09-05 05:17:00,38
2019-09-05 05:18:00,34
