71,"SELECT TOP # p.objid,  p.run, p.rerun, p.camcol, p.field, p.obj,  p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,  p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID AND p.i between # AND #"
2019-09-05 00:00:00,4
2019-09-05 00:01:00,3
2019-09-05 00:04:00,1
2019-09-05 00:11:00,1
2019-09-05 00:12:00,1
2019-09-05 00:16:00,1
2019-09-05 00:17:00,2
2019-09-05 00:30:00,13
2019-09-05 00:34:00,13
2019-09-05 00:35:00,23
2019-09-05 17:15:00,1
2019-09-05 21:40:00,1
2019-09-05 21:46:00,1
2019-09-05 21:56:00,1
2019-09-05 21:57:00,1
2019-09-05 22:11:00,1
2019-09-05 22:12:00,1
2019-09-05 22:35:00,1
2019-09-05 22:40:00,1
