2,"SELECT ra, dec into Large_galaxy_sample_Bright_Stars_extrabright_ra_# from Star WHERE dec BETWEEN # AND #    AND #<modelMag_i<#"
2019-09-05 09:29:00,1
2019-09-05 09:30:00,1
