1589,"select P.objID, P.ra, P.dec , P.u, P.g, P.r, P.i, P.z, P.type from PhotoPrimary as P , dbo.fGetNearbyObjEq(#, #, # ) N where P.objID = N.objID"
2019-09-05 16:11:00,3
2019-09-05 16:12:00,8
2019-09-05 16:13:00,8
2019-09-05 16:14:00,7
2019-09-05 16:15:00,12
2019-09-05 16:16:00,13
2019-09-05 16:17:00,15
2019-09-05 16:18:00,12
2019-09-05 16:19:00,16
2019-09-05 16:20:00,19
2019-09-05 16:21:00,18
2019-09-05 16:22:00,22
2019-09-05 16:23:00,22
2019-09-05 16:24:00,27
2019-09-05 16:25:00,28
2019-09-05 16:26:00,31
2019-09-05 16:27:00,33
2019-09-05 16:28:00,29
2019-09-05 16:29:00,36
2019-09-05 16:30:00,33
2019-09-05 16:31:00,30
2019-09-05 16:32:00,31
2019-09-05 16:33:00,32
2019-09-05 16:34:00,28
2019-09-05 16:35:00,32
2019-09-05 16:36:00,30
2019-09-05 16:37:00,31
2019-09-05 16:38:00,34
2019-09-05 16:39:00,32
2019-09-05 16:40:00,32
2019-09-05 16:41:00,27
2019-09-05 16:42:00,33
2019-09-05 16:43:00,28
2019-09-05 16:44:00,33
2019-09-05 16:45:00,33
2019-09-05 16:46:00,27
2019-09-05 16:47:00,23
2019-09-05 16:48:00,25
2019-09-05 16:49:00,34
2019-09-05 16:50:00,23
2019-09-05 16:51:00,25
2019-09-05 16:52:00,18
2019-09-05 16:53:00,21
2019-09-05 16:54:00,16
2019-09-05 16:55:00,20
2019-09-05 16:56:00,22
2019-09-05 16:57:00,14
2019-09-05 16:58:00,18
2019-09-05 16:59:00,17
2019-09-05 17:00:00,18
2019-09-05 17:01:00,19
2019-09-05 17:02:00,23
2019-09-05 17:03:00,13
2019-09-05 17:04:00,15
2019-09-05 17:05:00,11
2019-09-05 17:06:00,6
2019-09-05 17:07:00,8
2019-09-05 17:08:00,14
2019-09-05 17:09:00,11
2019-09-05 17:10:00,14
2019-09-05 17:11:00,14
2019-09-05 17:12:00,13
2019-09-05 17:13:00,18
2019-09-05 17:14:00,15
2019-09-05 17:15:00,20
2019-09-05 17:16:00,13
2019-09-05 17:17:00,12
2019-09-05 17:18:00,5
2019-09-05 17:19:00,4
2019-09-05 17:20:00,6
2019-09-05 17:21:00,4
2019-09-05 17:22:00,3
2019-09-05 17:23:00,3
2019-09-05 17:24:00,2
2019-09-05 17:25:00,5
2019-09-05 17:26:00,3
2019-09-05 17:27:00,2
2019-09-05 17:28:00,4
2019-09-05 17:29:00,2
2019-09-05 17:30:00,3
2019-09-05 17:31:00,3
2019-09-05 17:32:00,2
2019-09-05 17:33:00,2
2019-09-05 17:34:00,2
2019-09-05 17:35:00,1
2019-09-05 17:36:00,2
2019-09-05 17:37:00,3
2019-09-05 17:38:00,5
2019-09-05 17:39:00,4
2019-09-05 17:40:00,4
2019-09-05 17:41:00,2
2019-09-05 17:42:00,6
2019-09-05 17:43:00,3
2019-09-05 17:44:00,1
2019-09-05 17:45:00,2
2019-09-05 17:46:00,4
2019-09-05 17:47:00,4
2019-09-05 17:48:00,4
2019-09-05 17:49:00,1
2019-09-05 17:50:00,2
2019-09-05 17:51:00,4
2019-09-05 17:52:00,4
2019-09-05 17:53:00,1
2019-09-05 17:54:00,5
2019-09-05 17:55:00,3
2019-09-05 17:56:00,4
2019-09-05 17:57:00,2
2019-09-05 17:58:00,4
2019-09-05 17:59:00,6
2019-09-05 18:00:00,6
2019-09-05 18:01:00,4
2019-09-05 18:02:00,6
2019-09-05 18:03:00,6
2019-09-05 18:04:00,3
2019-09-05 18:05:00,6
2019-09-05 18:06:00,3
2019-09-05 18:07:00,1
