22,select top # * from galaxy
2019-09-05 00:19:00,1
2019-09-05 01:36:00,1
2019-09-05 02:04:00,1
2019-09-05 02:41:00,1
2019-09-05 03:34:00,1
2019-09-05 03:49:00,1
2019-09-05 05:16:00,1
2019-09-05 05:17:00,2
2019-09-05 07:16:00,1
2019-09-05 09:22:00,1
2019-09-05 09:42:00,1
2019-09-05 09:46:00,1
2019-09-05 10:36:00,1
2019-09-05 12:21:00,1
2019-09-05 13:04:00,1
2019-09-05 14:40:00,1
2019-09-05 16:55:00,1
2019-09-05 17:49:00,1
2019-09-05 20:33:00,1
2019-09-05 22:24:00,1
2019-09-05 22:55:00,1
