418,"SELECT   p.objid,p.ra,p.dec,p.r,   s.specobjid,s.z,   dbo.fSpecZWarningN(s.zWarning) as warning,   s.plate, s.mjd, s.fiberid   FROM PhotoObj AS p   JOIN SpecObj AS s ON s.bestobjid = p.objid   WHERE   p.ra < #+# and p.ra > #-#   AND p.dec < #+# and p.dec > #-#"
2019-09-05 00:05:00,1
2019-09-05 00:12:00,1
2019-09-05 00:18:00,1
2019-09-05 00:24:00,1
2019-09-05 00:25:00,1
2019-09-05 00:36:00,1
2019-09-05 00:39:00,1
2019-09-05 00:41:00,1
2019-09-05 00:44:00,1
2019-09-05 00:46:00,1
2019-09-05 00:53:00,1
2019-09-05 00:54:00,1
2019-09-05 00:55:00,1
2019-09-05 00:56:00,1
2019-09-05 00:59:00,1
2019-09-05 01:01:00,1
2019-09-05 01:11:00,1
2019-09-05 01:17:00,1
2019-09-05 01:21:00,1
2019-09-05 01:23:00,1
2019-09-05 01:24:00,1
2019-09-05 01:25:00,1
2019-09-05 01:26:00,1
2019-09-05 01:27:00,1
2019-09-05 01:28:00,1
2019-09-05 01:36:00,1
2019-09-05 01:37:00,1
2019-09-05 01:43:00,1
2019-09-05 01:45:00,1
2019-09-05 01:46:00,1
2019-09-05 01:47:00,1
2019-09-05 01:52:00,1
2019-09-05 01:53:00,1
2019-09-05 01:55:00,1
2019-09-05 01:56:00,1
2019-09-05 02:02:00,1
2019-09-05 02:06:00,1
2019-09-05 02:09:00,1
2019-09-05 02:11:00,1
2019-09-05 02:13:00,1
2019-09-05 02:16:00,1
2019-09-05 02:19:00,1
2019-09-05 02:23:00,1
2019-09-05 02:25:00,1
2019-09-05 02:28:00,1
2019-09-05 02:29:00,1
2019-09-05 02:39:00,1
2019-09-05 02:40:00,1
2019-09-05 02:43:00,1
2019-09-05 02:44:00,1
2019-09-05 02:50:00,1
2019-09-05 02:52:00,1
2019-09-05 02:58:00,1
2019-09-05 02:59:00,1
2019-09-05 03:03:00,1
2019-09-05 03:05:00,1
2019-09-05 03:08:00,1
2019-09-05 03:09:00,1
2019-09-05 03:15:00,1
2019-09-05 03:18:00,1
2019-09-05 03:22:00,1
2019-09-05 03:30:00,1
2019-09-05 03:32:00,1
2019-09-05 03:38:00,1
2019-09-05 03:43:00,1
2019-09-05 04:01:00,1
2019-09-05 04:03:00,1
2019-09-05 04:05:00,1
2019-09-05 04:07:00,1
2019-09-05 04:17:00,1
2019-09-05 04:18:00,1
2019-09-05 04:21:00,1
2019-09-05 04:25:00,1
2019-09-05 04:27:00,1
2019-09-05 04:30:00,1
2019-09-05 04:32:00,1
2019-09-05 04:36:00,1
2019-09-05 04:38:00,1
2019-09-05 04:39:00,1
2019-09-05 04:47:00,1
2019-09-05 04:49:00,1
2019-09-05 04:50:00,1
2019-09-05 04:53:00,1
2019-09-05 04:55:00,1
2019-09-05 04:57:00,1
2019-09-05 05:00:00,1
2019-09-05 05:01:00,1
2019-09-05 05:03:00,1
2019-09-05 05:05:00,1
