459,"SELECT st.ra, st.dec, dbo.fIAUFromEq(st.ra, st.dec) as name, n.distance, st.petroMag_r, dbo.fPhotoTypeN(st.type) as type FROM Star AS st, fGetNearbyObjEq(#,#,#) AS n WHERE st.objID = n.objID"
2019-09-05 03:37:00,32
2019-09-05 03:38:00,36
2019-09-05 03:39:00,37
2019-09-05 03:40:00,34
2019-09-05 03:41:00,39
2019-09-05 03:42:00,39
2019-09-05 03:43:00,36
2019-09-05 03:44:00,38
2019-09-05 03:45:00,35
2019-09-05 03:46:00,32
2019-09-05 03:47:00,34
2019-09-05 03:48:00,35
2019-09-05 03:49:00,30
2019-09-05 03:50:00,2
