62,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-09-05 00:29:00,1
2019-09-05 00:42:00,1
2019-09-05 03:58:00,1
2019-09-05 04:50:00,1
2019-09-05 04:59:00,2
2019-09-05 05:00:00,4
2019-09-05 05:01:00,1
2019-09-05 05:13:00,1
2019-09-05 06:03:00,1
2019-09-05 06:30:00,9
2019-09-05 06:31:00,1
2019-09-05 07:26:00,1
2019-09-05 09:21:00,1
2019-09-05 10:50:00,9
2019-09-05 10:51:00,1
2019-09-05 11:46:00,1
2019-09-05 12:38:00,1
2019-09-05 15:57:00,1
2019-09-05 16:11:00,1
2019-09-05 16:55:00,12
2019-09-05 18:06:00,1
2019-09-05 20:08:00,1
2019-09-05 20:30:00,1
2019-09-05 20:32:00,3
2019-09-05 20:53:00,2
2019-09-05 20:54:00,1
2019-09-05 20:59:00,1
2019-09-05 21:39:00,1
