612,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-04-27 12:32:00,6
2019-04-27 12:33:00,6
2019-04-27 12:37:00,13
2019-04-27 12:40:00,11
2019-04-27 12:42:00,9
2019-04-27 12:43:00,15
2019-04-27 12:47:00,7
2019-04-27 12:48:00,36
2019-04-27 12:49:00,5
2019-04-27 12:50:00,31
2019-04-27 12:51:00,12
2019-04-27 12:52:00,1
2019-04-27 12:53:00,24
2019-04-27 12:54:00,17
2019-04-27 12:55:00,36
2019-04-27 12:56:00,79
2019-04-27 12:57:00,30
2019-04-27 12:58:00,8
2019-04-27 12:59:00,50
2019-04-27 13:00:00,26
2019-04-27 13:02:00,26
2019-04-27 13:03:00,21
2019-04-27 13:06:00,8
2019-04-27 13:08:00,31
2019-04-27 13:09:00,5
2019-04-27 13:10:00,12
2019-04-27 13:11:00,11
2019-04-27 13:13:00,30
2019-04-27 13:15:00,27
2019-04-27 13:16:00,19
