486,"select q_z,u_z   from Galaxy   where ObjID = #"
2019-04-27 09:43:00,1
2019-04-27 09:44:00,1
2019-04-27 09:45:00,20
2019-04-27 09:46:00,43
2019-04-27 09:47:00,40
2019-04-27 09:48:00,38
2019-04-27 09:49:00,42
2019-04-27 09:50:00,43
2019-04-27 09:51:00,45
2019-04-27 09:52:00,38
2019-04-27 09:53:00,22
2019-04-27 11:31:00,12
2019-04-27 11:32:00,27
2019-04-27 11:33:00,21
2019-04-27 11:34:00,5
2019-04-27 11:38:00,23
2019-04-27 11:39:00,26
2019-04-27 11:40:00,28
2019-04-27 11:41:00,10
2019-04-27 11:42:00,1
