3434,"SELECT ALL   p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,p.type,   p.probPSF,   p.petroR9#_u, p.petroR9#_g, p.petroR9#_r, p.petroR9#_i, p.petroR9#_z,     p.deVRad_u, p.deVRad_g, p.deVRad_r, p.deVRad_i, p.deVRad_z,   p.deVAB_u, p.deVAB_g, p.deVAB_r, p.deVAB_i, p.deVAB_z,   p.deVPhi_u, p.deVPhi_g, p.deVPhi_r, p.deVPhi_i, p.deVPhi_z,     p.expRad_u, p.expRad_g, p.expRad_r, p.expRad_i, p.expRad_z,   p.expAB_u, p.expAB_g, p.expAB_r, p.expAB_i, p.expAB_z,   p.expPhi_u, p.expPhi_g, p.expPhi_r, p.expPhi_i, p.expPhi_z   FROM PhotoObj AS p   WHERE   p.ra BETWEEN # AND #   AND p.dec BETWEEN # AND #   AND p.type = #   ORDER by p.r"
2019-04-27 10:28:00,5
2019-04-27 10:29:00,8
2019-04-27 10:30:00,4
2019-04-27 10:31:00,10
2019-04-27 10:32:00,8
2019-04-27 10:33:00,8
2019-04-27 10:34:00,5
2019-04-27 10:35:00,11
2019-04-27 10:36:00,8
2019-04-27 10:37:00,9
2019-04-27 10:38:00,9
2019-04-27 10:39:00,9
2019-04-27 10:40:00,11
2019-04-27 10:41:00,10
2019-04-27 10:42:00,9
2019-04-27 10:43:00,8
2019-04-27 10:44:00,7
2019-04-27 10:45:00,8
2019-04-27 10:46:00,7
2019-04-27 10:47:00,6
2019-04-27 10:48:00,7
2019-04-27 10:49:00,8
2019-04-27 10:50:00,8
2019-04-27 10:51:00,8
2019-04-27 10:52:00,11
2019-04-27 10:53:00,6
2019-04-27 10:54:00,11
2019-04-27 10:55:00,8
2019-04-27 10:56:00,9
2019-04-27 10:57:00,6
2019-04-27 10:58:00,10
2019-04-27 10:59:00,9
2019-04-27 11:00:00,7
2019-04-27 11:01:00,7
2019-04-27 11:02:00,8
2019-04-27 11:03:00,7
2019-04-27 11:04:00,8
2019-04-27 11:05:00,9
2019-04-27 11:06:00,7
2019-04-27 11:07:00,8
2019-04-27 11:08:00,9
2019-04-27 11:09:00,6
2019-04-27 11:10:00,8
2019-04-27 11:11:00,9
2019-04-27 11:12:00,11
2019-04-27 11:13:00,7
2019-04-27 11:14:00,8
2019-04-27 11:15:00,9
2019-04-27 11:16:00,9
2019-04-27 11:17:00,8
2019-04-27 11:18:00,6
2019-04-27 11:19:00,9
2019-04-27 11:20:00,6
2019-04-27 11:21:00,9
2019-04-27 11:22:00,5
2019-04-27 11:23:00,8
2019-04-27 11:24:00,5
2019-04-27 11:25:00,8
2019-04-27 11:26:00,9
2019-04-27 11:27:00,7
2019-04-27 11:28:00,10
