901,"select   z, ra, dec, bestObjID   from   specObj   where   class = &&&   and ra BETWEEN # AND #   and dec BETWEEN # AND #   and z BETWEEN # and #"
2019-04-27 09:43:00,10
2019-04-27 09:44:00,2
2019-04-27 09:45:00,33
2019-04-27 09:46:00,55
2019-04-27 09:47:00,62
2019-04-27 09:48:00,58
2019-04-27 09:49:00,60
2019-04-27 09:50:00,61
2019-04-27 09:51:00,55
2019-04-27 09:52:00,60
2019-04-27 09:53:00,32
2019-04-27 11:31:00,39
2019-04-27 11:32:00,57
2019-04-27 11:33:00,81
2019-04-27 11:34:00,34
2019-04-27 11:38:00,54
2019-04-27 11:39:00,57
2019-04-27 11:40:00,57
2019-04-27 11:41:00,29
2019-04-27 11:42:00,5
