1654,"SELECT p.objID,p.ra,p.dec,p.run,p.rerun,p.camcol,p.field,p.type,p.z,p.zErr,p.zWarning,p.class,p.subClass,p.survey FROM dbo.fGetNearbyObjEq(#,#,#) as b, BESTDR1#..SpecPhotoAll as p WHERE b.objID = p.objID"
2019-07-26 03:36:00,1
2019-07-26 03:45:00,23
2019-07-26 03:46:00,34
2019-07-26 03:47:00,34
2019-07-26 03:48:00,30
2019-07-26 03:49:00,33
2019-07-26 03:50:00,29
2019-07-26 03:51:00,29
2019-07-26 03:52:00,29
2019-07-26 03:53:00,30
2019-07-26 03:54:00,30
2019-07-26 03:55:00,30
2019-07-26 03:56:00,31
2019-07-26 03:57:00,8
2019-07-26 03:58:00,21
2019-07-26 03:59:00,29
2019-07-26 04:00:00,28
2019-07-26 04:01:00,33
2019-07-26 04:02:00,31
2019-07-26 04:03:00,30
2019-07-26 04:04:00,30
2019-07-26 04:05:00,32
2019-07-26 04:06:00,31
2019-07-26 04:07:00,30
2019-07-26 04:08:00,31
2019-07-26 04:09:00,31
2019-07-26 04:10:00,29
2019-07-26 04:11:00,33
2019-07-26 04:12:00,29
2019-07-26 04:13:00,30
2019-07-26 04:14:00,30
2019-07-26 04:15:00,29
2019-07-26 04:16:00,30
2019-07-26 04:17:00,33
2019-07-26 04:18:00,32
2019-07-26 04:19:00,33
2019-07-26 04:20:00,32
2019-07-26 04:21:00,34
2019-07-26 04:22:00,36
2019-07-26 04:23:00,35
2019-07-26 04:24:00,35
2019-07-26 04:25:00,35
2019-07-26 04:26:00,35
2019-07-26 04:27:00,37
2019-07-26 04:28:00,36
2019-07-26 04:29:00,37
2019-07-26 04:30:00,37
2019-07-26 04:31:00,36
2019-07-26 04:32:00,34
2019-07-26 04:33:00,34
2019-07-26 04:34:00,36
2019-07-26 04:35:00,35
2019-07-26 04:36:00,35
2019-07-26 04:37:00,19
