26,"SELECT g.objid,g.ra,g.dec,p.z,p.zErr,q.u,q.g,q.r,q.i,q.z FROM GALAXY as g JOIN PhotoZ as p ON p.objID = g.ObjID JOIN PhotoObjAll as q ON q.objID = g.objID WHERE (g.ra between # and #) and (g.dec between # and #)"
2019-04-07 07:00:00,2
2019-04-07 07:01:00,2
2019-04-07 07:09:00,2
2019-04-07 07:10:00,1
2019-04-07 07:36:00,1
2019-04-07 07:41:00,4
2019-04-07 10:34:00,1
2019-04-07 10:59:00,2
2019-04-07 14:38:00,1
2019-04-07 14:44:00,1
2019-04-07 14:57:00,1
2019-04-07 15:00:00,1
2019-04-07 15:11:00,1
2019-04-07 20:26:00,1
2019-04-07 21:00:00,2
2019-04-07 21:01:00,1
2019-04-07 21:25:00,1
2019-04-07 22:31:00,1
