560,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName=&&& order by [indexMapId]"
2019-04-07 00:01:00,1
2019-04-07 00:15:00,2
2019-04-07 00:17:00,1
2019-04-07 00:19:00,3
2019-04-07 00:21:00,1
2019-04-07 00:23:00,2
2019-04-07 00:26:00,1
2019-04-07 00:27:00,1
2019-04-07 00:28:00,2
2019-04-07 00:34:00,1
2019-04-07 00:35:00,1
2019-04-07 00:37:00,42
2019-04-07 00:38:00,1
2019-04-07 00:46:00,1
2019-04-07 00:47:00,1
2019-04-07 00:59:00,1
2019-04-07 01:00:00,1
2019-04-07 01:01:00,3
2019-04-07 01:02:00,1
2019-04-07 01:09:00,2
2019-04-07 01:16:00,1
2019-04-07 01:25:00,1
2019-04-07 01:29:00,2
2019-04-07 01:33:00,1
2019-04-07 01:36:00,1
2019-04-07 01:43:00,1
2019-04-07 01:44:00,1
2019-04-07 02:02:00,42
2019-04-07 02:17:00,42
2019-04-07 02:25:00,1
2019-04-07 02:27:00,1
2019-04-07 02:36:00,42
2019-04-07 02:48:00,1
2019-04-07 02:55:00,1
2019-04-07 02:59:00,1
2019-04-07 03:09:00,1
2019-04-07 03:28:00,1
2019-04-07 03:53:00,1
2019-04-07 03:55:00,2
2019-04-07 03:56:00,1
2019-04-07 05:12:00,1
2019-04-07 05:14:00,1
2019-04-07 05:32:00,2
2019-04-07 05:55:00,1
2019-04-07 06:08:00,1
2019-04-07 06:19:00,1
2019-04-07 06:31:00,1
2019-04-07 06:57:00,42
2019-04-07 08:14:00,42
2019-04-07 08:42:00,1
2019-04-07 10:26:00,42
2019-04-07 11:52:00,18
2019-04-07 14:12:00,1
2019-04-07 14:18:00,1
2019-04-07 14:24:00,2
2019-04-07 14:27:00,1
2019-04-07 14:32:00,42
2019-04-07 15:06:00,1
2019-04-07 15:15:00,1
2019-04-07 16:43:00,42
2019-04-07 17:01:00,42
2019-04-07 22:24:00,18
2019-04-07 23:23:00,42
