2010,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-04-07 12:32:00,21
2019-04-07 12:33:00,30
2019-04-07 12:34:00,22
2019-04-07 12:38:00,28
2019-04-07 12:39:00,79
2019-04-07 12:40:00,36
2019-04-07 12:47:00,81
2019-04-07 12:48:00,17
2019-04-07 12:51:00,17
2019-04-07 12:53:00,16
2019-04-07 12:54:00,11
2019-04-07 12:56:00,12
2019-04-07 12:59:00,9
2019-04-07 13:00:00,6
2019-04-07 13:07:00,2
2019-04-07 13:09:00,2
2019-04-07 13:10:00,10
2019-04-07 13:11:00,9
2019-04-07 13:12:00,12
2019-04-07 13:13:00,18
2019-04-07 13:14:00,250
2019-04-07 13:15:00,71
2019-04-07 13:18:00,13
2019-04-07 13:21:00,5
2019-04-07 13:22:00,5
2019-04-07 13:23:00,46
2019-04-07 13:24:00,5
2019-04-07 13:26:00,52
2019-04-07 13:28:00,17
2019-04-07 13:29:00,10
2019-04-07 13:30:00,64
2019-04-07 13:37:00,29
2019-04-07 13:38:00,200
2019-04-07 13:39:00,90
2019-04-07 13:40:00,249
2019-04-07 13:41:00,76
2019-04-07 13:42:00,178
2019-04-07 13:43:00,92
2019-04-07 13:44:00,7
2019-04-07 13:45:00,18
2019-04-07 13:48:00,21
2019-04-07 13:50:00,15
2019-04-07 13:53:00,28
2019-04-07 13:55:00,31
