129,"select ra, dec, run, rerun, camcol, field from Field where (ra between # and #) and (dec between # and #)"
2019-04-07 02:55:00,1
2019-04-07 03:13:00,1
2019-04-07 03:30:00,1
2019-04-07 03:41:00,3
2019-04-07 03:44:00,3
2019-04-07 03:50:00,1
2019-04-07 03:51:00,1
2019-04-07 03:52:00,5
2019-04-07 03:53:00,12
2019-04-07 03:55:00,13
2019-04-07 03:56:00,7
2019-04-07 03:58:00,12
2019-04-07 03:59:00,2
2019-04-07 04:01:00,20
2019-04-07 04:04:00,5
2019-04-07 04:05:00,7
2019-04-07 04:06:00,2
2019-04-07 04:07:00,18
2019-04-07 04:15:00,1
2019-04-07 04:24:00,1
2019-04-07 04:30:00,1
2019-04-07 04:33:00,1
2019-04-07 04:34:00,1
2019-04-07 04:35:00,1
2019-04-07 04:40:00,1
2019-04-07 04:49:00,1
2019-04-07 04:58:00,1
2019-04-07 05:36:00,2
2019-04-07 05:38:00,1
2019-04-07 05:39:00,1
2019-04-07 05:41:00,2
