661,"SELECT p.objid, p.type, p.clean, p.ra, p.dec, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.petroR9#_u, p.petroR9#_g, p.petroR9#_r, p.petroR9#_i, p.petroR9#_z, p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, pz.z, pz.zErr FROM PhotoObj AS p , dbo.fGetNearbyObjEq(#, #, #) AS n LEFT JOIN Photoz AS pz ON pz.objID = n.objID WHERE n.objID = p.objID"
2019-04-29 00:00:00,9
2019-04-29 00:01:00,10
2019-04-29 00:02:00,6
2019-04-29 00:03:00,6
2019-04-29 00:04:00,7
2019-04-29 00:05:00,8
2019-04-29 00:06:00,9
2019-04-29 00:07:00,9
2019-04-29 00:08:00,9
2019-04-29 00:09:00,9
2019-04-29 00:10:00,6
2019-04-29 00:11:00,9
2019-04-29 00:12:00,8
2019-04-29 00:13:00,9
2019-04-29 00:14:00,10
2019-04-29 00:15:00,10
2019-04-29 00:16:00,8
2019-04-29 00:17:00,9
2019-04-29 00:18:00,7
2019-04-29 00:19:00,9
2019-04-29 00:20:00,10
2019-04-29 00:21:00,8
2019-04-29 00:22:00,8
2019-04-29 00:23:00,6
2019-04-29 00:24:00,9
2019-04-29 00:25:00,6
2019-04-29 00:26:00,9
2019-04-29 00:27:00,8
2019-04-29 00:28:00,5
2019-04-29 00:29:00,6
2019-04-29 00:30:00,7
2019-04-29 00:31:00,7
2019-04-29 00:32:00,6
2019-04-29 00:33:00,9
2019-04-29 00:34:00,10
2019-04-29 00:35:00,7
2019-04-29 00:36:00,10
2019-04-29 00:37:00,9
2019-04-29 00:38:00,9
2019-04-29 00:39:00,9
2019-04-29 00:40:00,8
2019-04-29 00:41:00,7
2019-04-29 00:42:00,6
2019-04-29 00:43:00,9
2019-04-29 00:44:00,10
2019-04-29 00:45:00,10
2019-04-29 00:46:00,2
2019-04-29 00:47:00,7
2019-04-29 00:48:00,6
2019-04-29 00:49:00,10
2019-04-29 00:50:00,9
2019-04-29 00:51:00,10
2019-04-29 00:52:00,9
2019-04-29 00:53:00,10
2019-04-29 00:54:00,10
2019-04-29 00:55:00,9
2019-04-29 00:56:00,10
2019-04-29 00:57:00,11
2019-04-29 00:58:00,10
2019-04-29 00:59:00,9
2019-04-29 01:00:00,9
2019-04-29 01:01:00,10
2019-04-29 01:02:00,10
2019-04-29 01:03:00,10
2019-04-29 01:04:00,6
2019-04-29 01:05:00,9
2019-04-29 01:06:00,10
2019-04-29 01:07:00,9
2019-04-29 01:08:00,10
2019-04-29 01:09:00,11
2019-04-29 01:10:00,10
2019-04-29 01:11:00,10
2019-04-29 01:12:00,11
2019-04-29 01:13:00,10
2019-04-29 01:14:00,10
2019-04-29 01:15:00,10
2019-04-29 01:16:00,9
