25,"SELECT TOP #  S.ObjID,S.z,S.ra,S.dec,SN.sn_#, L1.ew, L2.ew,L3.ew,L1.sigma,L2.sigma,L3.sigma,L1.continuum,L2.continuum,L3.continuum,SNN2.name,SNN2.sn FROM SpecPhoto AS S  JOIN SpecLine AS L1 ON S.SpecObjID = L1.SpecObjID  JOIN SpecLine AS L2 ON S.SpecObjID = L2.SpecObjID  JOIN SpecLine AS L3 ON S.SpecObjID = L3.SpecObjID  JOIN SpecObjAll AS SN ON S.SpecObjID = SN.SpecObjID  JOIN SpecLineIndex AS SNN2 ON S.SpecObjID = SNN2.SpecObjID  WHERE L1.LineId = #  and L2.LineId = #  and L3.LineID = #  and SNN2.name = Lick_Hb"
2019-04-29 15:04:00,1
2019-04-29 15:05:00,1
2019-04-29 15:11:00,2
2019-04-29 15:20:00,1
2019-04-29 16:15:00,1
2019-04-29 16:16:00,2
2019-04-29 16:46:00,2
2019-04-29 17:37:00,1
2019-04-29 17:38:00,1
2019-04-29 17:39:00,1
2019-04-29 17:40:00,1
2019-04-29 18:03:00,1
2019-04-29 18:04:00,1
2019-04-29 18:05:00,1
2019-04-29 19:42:00,1
2019-04-29 19:59:00,5
2019-04-29 20:08:00,1
2019-04-29 20:10:00,1
