2,"SELECT    p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,     (p.u-p.r) as &&&, (p.r-p.i) as &&&, (p.r-p.z) as &&&, (p.g-p.r) as &&&,    p.type as obj_ph_type into mydb.photopeasdr1# from PhotoObj AS p    WHERE      p.r BETWEEN # AND #      AND p.petrorad_r <= #      AND (p.u-p.r <= #)      AND (p.r-p.i <= #)      AND (p.r-p.z <= #)      AND (p.g-p.r >= (p.r-p.i) + #)      AND (p.u-p.r >= #*(p.r-p.z))      AND p.err_g < #      AND p.err_r < #      AND p.err_i < #"
2019-04-29 06:41:00,1
2019-04-29 06:46:00,1
