2,"SELECT TOP #    p.objid,p.ra,p.dec,p.r,    p.run, p.rerun, p.camcol, p.field,    s.specobjid, s.class, s.z as redshift,    s.plate, s.mjd, s.fiberid into mydb.MyTable from PhotoObj AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE     p.r BETWEEN # AND #    AND s.z BETWEEN # AND #"
2019-04-29 18:12:00,1
2019-04-29 18:13:00,1
