358,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-04-29 12:32:00,10
2019-04-29 12:35:00,20
2019-04-29 12:36:00,13
2019-04-29 12:37:00,12
2019-04-29 12:39:00,12
2019-04-29 12:40:00,22
2019-04-29 12:41:00,26
2019-04-29 12:42:00,39
2019-04-29 12:43:00,27
2019-04-29 12:45:00,6
2019-04-29 12:46:00,1
2019-04-29 12:48:00,11
2019-04-29 12:49:00,29
2019-04-29 13:05:00,14
2019-04-29 13:07:00,10
2019-04-29 13:08:00,11
2019-04-29 13:13:00,8
2019-04-29 13:14:00,8
2019-04-29 13:15:00,15
2019-04-29 13:16:00,14
2019-04-29 13:18:00,26
2019-04-29 13:21:00,24
