7268,"SELECT p.ra,p.dec,   p.psfmag_g,p.psfMagErr_g,   p.psfmag_r,p.psfMagErr_r,   p.psfmag_i,p.psfMagErr_i,   p.psfmag_z,p.psfMagErr_z,   f.mjd_r,f.mjd_g,f.mjd_i,f.mjd_z   FROM PhotoObjAll p   JOIN field as f on p.fieldid = f.fieldid   WHERE ra between # and #   and dec between # and #   and p.parentID = #   order by f.mjd_r"
2019-04-29 17:18:00,54
2019-04-29 17:27:00,48
2019-04-29 17:30:00,143
2019-04-29 17:31:00,181
2019-04-29 17:32:00,164
2019-04-29 17:33:00,186
2019-04-29 17:34:00,141
2019-04-29 17:35:00,121
2019-04-29 17:36:00,98
2019-04-29 17:37:00,99
2019-04-29 17:38:00,123
2019-04-29 17:39:00,140
2019-04-29 17:40:00,19
2019-04-29 17:42:00,239
2019-04-29 17:43:00,235
2019-04-29 17:44:00,279
2019-04-29 17:45:00,202
2019-04-29 17:46:00,201
2019-04-29 17:47:00,272
2019-04-29 17:48:00,9
2019-04-29 17:56:00,289
2019-04-29 17:57:00,226
2019-04-29 17:58:00,313
2019-04-29 17:59:00,211
2019-04-29 18:00:00,218
2019-04-29 18:01:00,166
2019-04-29 18:08:00,13
2019-04-29 18:25:00,241
2019-04-29 18:26:00,173
2019-04-29 18:27:00,214
2019-04-29 18:28:00,214
2019-04-29 18:29:00,183
2019-04-29 18:30:00,170
2019-04-29 18:31:00,146
2019-04-29 18:32:00,118
2019-04-29 18:54:00,25
2019-04-29 18:55:00,183
2019-04-29 18:56:00,143
2019-04-29 18:57:00,214
2019-04-29 18:58:00,252
2019-04-29 18:59:00,207
2019-04-29 19:00:00,184
2019-04-29 19:01:00,209
2019-04-29 19:02:00,2
