22,select * from zooSpec where objid=#
2019-01-02 02:36:00,1
2019-01-02 04:30:00,1
2019-01-02 05:54:00,1
2019-01-02 08:15:00,1
2019-01-02 09:17:00,1
2019-01-02 15:13:00,1
2019-01-02 15:32:00,1
2019-01-02 15:51:00,1
2019-01-02 16:03:00,1
2019-01-02 16:33:00,1
2019-01-02 16:52:00,1
2019-01-02 17:42:00,1
2019-01-02 18:05:00,1
2019-01-02 18:06:00,1
2019-01-02 18:18:00,1
2019-01-02 18:53:00,1
2019-01-02 20:27:00,1
2019-01-02 21:09:00,1
2019-01-02 22:12:00,1
2019-01-02 22:51:00,1
2019-01-02 23:11:00,1
2019-01-02 23:19:00,1
