54,"SELECT up_id,  dbo.fGetNearestSpecObjIdEq( up_ra,up_dec,up_sep ) as SpecobjId   FROM #upload  WHERE  dbo.fGetNearestSpecObjIdEq( up_ra,up_dec,up_sep ) IS NOT NULL  SELECT TOP #   s.ra,s.dec,s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN #x AS x ON x.SpecobjID=s.SpecobjID  JOIN #upload AS u ON u.up_id = x.up_id   WHERE  s.zWarning = #   ORDER BY x.up_id"
2019-01-02 19:07:00,1
2019-01-02 19:09:00,1
2019-01-02 19:55:00,1
2019-01-02 20:34:00,1
2019-01-02 20:35:00,1
2019-01-02 20:36:00,1
2019-01-02 20:37:00,1
2019-01-02 20:43:00,1
2019-01-02 20:47:00,1
2019-01-02 20:48:00,1
2019-01-02 20:52:00,1
2019-01-02 20:53:00,1
2019-01-02 20:55:00,1
2019-01-02 20:56:00,1
2019-01-02 20:57:00,2
2019-01-02 20:59:00,1
2019-01-02 21:03:00,1
2019-01-02 21:08:00,1
2019-01-02 21:11:00,1
2019-01-02 21:14:00,1
2019-01-02 21:17:00,2
2019-01-02 21:18:00,1
2019-01-02 21:21:00,2
2019-01-02 21:23:00,1
2019-01-02 21:24:00,1
2019-01-02 21:26:00,2
2019-01-02 21:27:00,1
2019-01-02 21:28:00,1
2019-01-02 21:30:00,2
2019-01-02 21:31:00,2
2019-01-02 21:32:00,1
2019-01-02 21:34:00,2
2019-01-02 21:36:00,1
2019-01-02 21:37:00,1
2019-01-02 21:54:00,1
2019-01-02 21:58:00,1
2019-01-02 22:00:00,2
2019-01-02 22:01:00,2
2019-01-02 22:02:00,2
2019-01-02 22:03:00,2
2019-01-02 22:04:00,2
2019-01-02 22:21:00,1
