23,select * from zooMonochromeBias where objid=#
2019-01-02 01:34:00,1
2019-01-02 02:29:00,1
2019-01-02 02:49:00,1
2019-01-02 03:09:00,1
2019-01-02 04:32:00,1
2019-01-02 04:55:00,1
2019-01-02 06:57:00,2
2019-01-02 07:47:00,1
2019-01-02 08:58:00,1
2019-01-02 10:13:00,1
2019-01-02 15:29:00,1
2019-01-02 15:32:00,1
2019-01-02 15:59:00,2
2019-01-02 16:44:00,1
2019-01-02 18:42:00,1
2019-01-02 20:45:00,2
2019-01-02 20:51:00,1
2019-01-02 21:00:00,1
2019-01-02 22:38:00,1
2019-01-02 23:19:00,1
