230,"select p.run, p.camcol, p.field from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-08-05 02:34:00,2
2019-08-05 02:35:00,1
2019-08-05 02:38:00,1
2019-08-05 02:57:00,2
2019-08-05 02:59:00,2
2019-08-05 03:01:00,2
2019-08-05 03:04:00,2
2019-08-05 03:06:00,1
2019-08-05 03:07:00,1
2019-08-05 03:11:00,1
2019-08-05 03:12:00,1
2019-08-05 03:17:00,2
2019-08-05 03:45:00,2
2019-08-05 03:46:00,1
2019-08-05 03:47:00,3
2019-08-05 03:53:00,1
2019-08-05 03:57:00,2
2019-08-05 04:06:00,1
2019-08-05 04:08:00,1
2019-08-05 04:09:00,1
2019-08-05 04:13:00,1
2019-08-05 04:14:00,2
2019-08-05 04:37:00,2
2019-08-05 04:49:00,6
2019-08-05 04:59:00,1
2019-08-05 05:00:00,3
2019-08-05 05:02:00,2
2019-08-05 05:06:00,2
2019-08-05 05:13:00,2
2019-08-05 05:14:00,3
2019-08-05 05:23:00,2
2019-08-05 05:24:00,2
2019-08-05 05:34:00,2
2019-08-05 05:35:00,2
2019-08-05 05:37:00,3
2019-08-05 05:48:00,2
2019-08-05 05:49:00,1
2019-08-05 05:50:00,2
2019-08-05 05:59:00,2
2019-08-05 06:00:00,1
2019-08-05 06:01:00,1
2019-08-05 06:02:00,4
2019-08-05 06:04:00,2
2019-08-05 06:14:00,2
2019-08-05 06:15:00,1
2019-08-05 06:18:00,2
2019-08-05 06:20:00,4
2019-08-05 06:24:00,2
2019-08-05 06:27:00,2
2019-08-05 06:40:00,2
2019-08-05 06:41:00,1
2019-08-05 06:44:00,2
2019-08-05 06:47:00,1
2019-08-05 06:55:00,2
2019-08-05 06:56:00,2
2019-08-05 07:03:00,1
2019-08-05 07:05:00,1
2019-08-05 07:07:00,2
2019-08-05 07:10:00,1
2019-08-05 07:11:00,1
2019-08-05 07:14:00,2
2019-08-05 07:20:00,4
2019-08-05 07:23:00,2
2019-08-05 07:28:00,2
2019-08-05 07:29:00,2
2019-08-05 07:34:00,2
2019-08-05 07:37:00,1
2019-08-05 07:38:00,2
2019-08-05 07:39:00,1
2019-08-05 07:41:00,3
2019-08-05 07:47:00,2
2019-08-05 07:49:00,2
2019-08-05 07:50:00,2
2019-08-05 07:52:00,2
2019-08-05 07:53:00,2
2019-08-05 07:55:00,2
2019-08-05 07:59:00,2
2019-08-05 08:00:00,2
2019-08-05 08:01:00,1
2019-08-05 08:02:00,1
2019-08-05 08:05:00,2
2019-08-05 08:06:00,2
2019-08-05 08:07:00,2
2019-08-05 08:08:00,2
2019-08-05 08:14:00,2
2019-08-05 08:16:00,4
2019-08-05 08:20:00,1
2019-08-05 08:21:00,1
2019-08-05 08:23:00,2
2019-08-05 08:24:00,4
2019-08-05 08:28:00,1
2019-08-05 08:31:00,2
2019-08-05 08:36:00,2
2019-08-05 08:39:00,2
2019-08-05 08:40:00,2
2019-08-05 08:42:00,2
2019-08-05 08:46:00,2
2019-08-05 08:49:00,2
2019-08-05 08:52:00,2
2019-08-05 09:02:00,2
2019-08-05 09:08:00,2
2019-08-05 09:11:00,2
2019-08-05 09:14:00,1
2019-08-05 09:15:00,3
2019-08-05 09:21:00,4
2019-08-05 09:22:00,1
2019-08-05 09:28:00,4
2019-08-05 09:30:00,2
2019-08-05 09:32:00,2
2019-08-05 09:38:00,1
2019-08-05 09:43:00,4
2019-08-05 10:25:00,2
2019-08-05 10:26:00,7
2019-08-05 10:32:00,2
2019-08-05 10:33:00,2
2019-08-05 10:36:00,2
