60,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-08-05 01:01:00,1
2019-08-05 01:22:00,1
2019-08-05 01:28:00,1
2019-08-05 02:35:00,1
2019-08-05 02:55:00,1
2019-08-05 03:19:00,1
2019-08-05 03:47:00,1
2019-08-05 04:25:00,1
2019-08-05 04:58:00,1
2019-08-05 05:27:00,1
2019-08-05 06:56:00,1
2019-08-05 07:59:00,1
2019-08-05 08:03:00,3
2019-08-05 08:04:00,9
2019-08-05 08:18:00,1
2019-08-05 08:26:00,1
2019-08-05 08:52:00,2
2019-08-05 09:00:00,1
2019-08-05 09:11:00,1
2019-08-05 13:32:00,1
2019-08-05 13:39:00,1
2019-08-05 14:53:00,1
2019-08-05 15:02:00,1
2019-08-05 15:04:00,1
2019-08-05 15:09:00,1
2019-08-05 16:23:00,1
2019-08-05 16:47:00,1
2019-08-05 18:44:00,10
2019-08-05 18:45:00,1
2019-08-05 18:47:00,1
2019-08-05 18:51:00,1
2019-08-05 19:42:00,1
2019-08-05 19:48:00,1
2019-08-05 20:06:00,1
2019-08-05 20:26:00,1
2019-08-05 21:06:00,1
2019-08-05 21:55:00,1
2019-08-05 21:58:00,1
2019-08-05 22:36:00,1
2019-08-05 23:36:00,1
