79,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid=s.bestobjid and (p.g BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-08-05 00:12:00,1
2019-08-05 00:41:00,1
2019-08-05 00:45:00,1
2019-08-05 00:49:00,1
2019-08-05 00:55:00,1
2019-08-05 01:01:00,1
2019-08-05 01:05:00,1
2019-08-05 01:08:00,1
2019-08-05 01:14:00,1
2019-08-05 01:16:00,1
2019-08-05 01:20:00,1
2019-08-05 01:23:00,1
2019-08-05 01:30:00,1
2019-08-05 01:35:00,1
2019-08-05 01:42:00,1
2019-08-05 01:45:00,1
2019-08-05 01:48:00,1
2019-08-05 01:51:00,1
2019-08-05 10:51:00,1
2019-08-05 10:53:00,1
2019-08-05 10:57:00,1
2019-08-05 10:59:00,1
2019-08-05 11:16:00,1
2019-08-05 12:40:00,1
2019-08-05 12:41:00,1
2019-08-05 12:46:00,1
2019-08-05 12:51:00,1
2019-08-05 12:56:00,1
2019-08-05 12:57:00,1
2019-08-05 13:04:00,1
2019-08-05 13:07:00,1
2019-08-05 13:27:00,1
2019-08-05 14:06:00,1
2019-08-05 14:09:00,1
2019-08-05 14:11:00,1
2019-08-05 14:12:00,1
2019-08-05 14:18:00,2
2019-08-05 14:23:00,2
2019-08-05 14:50:00,1
2019-08-05 14:56:00,1
2019-08-05 16:13:00,1
2019-08-05 16:17:00,1
2019-08-05 16:19:00,1
2019-08-05 16:20:00,2
2019-08-05 16:21:00,1
2019-08-05 16:27:00,1
2019-08-05 16:28:00,1
2019-08-05 16:32:00,1
2019-08-05 16:33:00,1
2019-08-05 16:35:00,1
2019-08-05 16:37:00,1
2019-08-05 16:41:00,1
2019-08-05 16:43:00,1
2019-08-05 16:51:00,1
2019-08-05 16:58:00,1
2019-08-05 17:04:00,1
2019-08-05 17:12:00,1
2019-08-05 17:20:00,1
2019-08-05 17:26:00,1
2019-08-05 17:32:00,1
2019-08-05 17:39:00,1
2019-08-05 17:47:00,1
2019-08-05 17:50:00,1
2019-08-05 17:54:00,1
2019-08-05 17:56:00,1
2019-08-05 18:01:00,1
2019-08-05 18:06:00,1
2019-08-05 18:16:00,2
2019-08-05 18:23:00,1
2019-08-05 18:31:00,1
2019-08-05 18:52:00,1
2019-08-05 18:58:00,1
2019-08-05 19:04:00,1
2019-08-05 19:08:00,1
2019-08-05 19:09:00,1
