19,"SELECT TOP #  p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z,   p.run, p.rerun, p.camcol, p.field,   s.specobjid, s.class, s.z as redshift,   s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND #"
2019-08-05 14:50:00,1
2019-08-05 14:53:00,1
2019-08-05 14:55:00,1
2019-08-05 14:58:00,2
2019-08-05 15:24:00,1
2019-08-05 15:36:00,2
2019-08-05 19:08:00,1
2019-08-05 19:17:00,1
2019-08-05 19:25:00,1
2019-08-05 19:26:00,1
2019-08-05 19:28:00,4
2019-08-05 19:29:00,1
2019-08-05 20:40:00,2
