60,"SELECT TOP # p.objid,  p.type, p.ra, p.dec, p.g, distance  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID order by distance"
2019-08-05 11:09:00,1
2019-08-05 11:10:00,1
2019-08-05 11:11:00,1
2019-08-05 11:12:00,1
2019-08-05 11:13:00,2
2019-08-05 11:14:00,1
2019-08-05 11:15:00,2
2019-08-05 11:16:00,1
2019-08-05 15:57:00,1
2019-08-05 15:58:00,1
2019-08-05 15:59:00,2
2019-08-05 16:00:00,1
2019-08-05 16:01:00,2
2019-08-05 16:02:00,1
2019-08-05 16:03:00,1
2019-08-05 16:04:00,2
2019-08-05 16:05:00,1
2019-08-05 16:06:00,2
2019-08-05 16:07:00,1
2019-08-05 16:08:00,1
2019-08-05 16:09:00,2
2019-08-05 16:10:00,1
2019-08-05 16:11:00,2
2019-08-05 16:12:00,1
2019-08-05 16:13:00,1
2019-08-05 16:14:00,2
2019-08-05 16:15:00,1
2019-08-05 16:16:00,2
2019-08-05 16:17:00,1
2019-08-05 16:18:00,1
2019-08-05 16:19:00,2
2019-08-05 16:20:00,1
2019-08-05 16:21:00,2
2019-08-05 16:22:00,1
2019-08-05 16:23:00,2
2019-08-05 16:24:00,1
2019-08-05 16:25:00,1
2019-08-05 16:26:00,2
2019-08-05 16:27:00,1
2019-08-05 16:28:00,1
2019-08-05 16:29:00,2
2019-08-05 16:30:00,1
2019-08-05 16:31:00,2
2019-08-05 16:32:00,1
