266,select * from sppParams where specObjId=#
2019-08-05 00:06:00,12
2019-08-05 00:09:00,5
2019-08-05 00:18:00,1
2019-08-05 08:01:00,30
2019-08-05 08:02:00,21
2019-08-05 11:16:00,1
2019-08-05 11:58:00,22
2019-08-05 11:59:00,21
2019-08-05 12:00:00,36
2019-08-05 12:01:00,36
2019-08-05 12:02:00,36
2019-08-05 12:03:00,12
2019-08-05 15:22:00,1
2019-08-05 15:41:00,8
2019-08-05 15:42:00,9
2019-08-05 17:42:00,8
2019-08-05 21:36:00,3
2019-08-05 21:37:00,2
2019-08-05 22:26:00,1
2019-08-05 23:04:00,1
