541,"SELECT DISTINCT po.objid AS phot_id, po.ra AS phot_ra, po.dec AS phot_dec, po.modelmag_i AS modmag_i FROM PhotoPrimary po WHERE ( po.clean = # OR ( ((po.flags & #) != #) AND ((po.flags & #) = #)  AND (((po.flags & #) = #) OR (po.psfmagerr_i <= #)) AND (((po.flags & #) = #) OR (po.flags & #) = #) ) ) AND (po.calibStatus_i & #) != # AND po.modelmagerr_i <= # AND po.modelmagerr_i > # AND po.modelmag_i > # AND po.extinction_i  <= # AND po.ra BETWEEN # AND #"
2019-08-05 00:31:00,4
2019-08-05 00:32:00,24
2019-08-05 00:33:00,23
2019-08-05 00:34:00,22
2019-08-05 00:35:00,23
2019-08-05 00:36:00,23
2019-08-05 00:37:00,23
2019-08-05 00:38:00,29
2019-08-05 00:39:00,29
2019-08-05 00:40:00,27
2019-08-05 00:41:00,28
2019-08-05 00:42:00,26
2019-08-05 00:43:00,27
2019-08-05 00:44:00,27
2019-08-05 00:45:00,26
2019-08-05 00:46:00,22
2019-08-05 00:47:00,24
2019-08-05 00:48:00,23
2019-08-05 00:49:00,22
2019-08-05 00:50:00,22
2019-08-05 00:51:00,22
2019-08-05 00:52:00,23
2019-08-05 00:53:00,22
