2081,"select P.objID, P.ra, P.dec , P.u, P.g, P.r, P.i, P.z, P.type from PhotoPrimary as P , dbo.fGetNearbyObjEq(#, #, # ) N where P.objID = N.objID"
2019-09-02 14:43:00,3
2019-09-02 14:44:00,8
2019-09-02 14:45:00,8
2019-09-02 14:46:00,7
2019-09-02 14:47:00,8
2019-09-02 14:48:00,7
2019-09-02 14:49:00,6
2019-09-02 14:50:00,6
2019-09-02 14:51:00,7
2019-09-02 14:52:00,2
2019-09-02 14:53:00,5
2019-09-02 14:54:00,2
2019-09-02 14:55:00,6
2019-09-02 14:56:00,6
2019-09-02 14:57:00,11
2019-09-02 14:58:00,9
2019-09-02 14:59:00,9
2019-09-02 15:00:00,12
2019-09-02 15:01:00,12
2019-09-02 15:02:00,4
2019-09-02 15:03:00,6
2019-09-02 15:04:00,8
2019-09-02 15:05:00,7
2019-09-02 15:06:00,7
2019-09-02 15:07:00,13
2019-09-02 15:08:00,12
2019-09-02 15:09:00,14
2019-09-02 15:10:00,15
2019-09-02 15:11:00,10
2019-09-02 15:12:00,17
2019-09-02 15:13:00,8
2019-09-02 15:14:00,13
2019-09-02 15:15:00,13
2019-09-02 15:16:00,17
2019-09-02 15:17:00,16
2019-09-02 15:18:00,16
2019-09-02 15:19:00,20
2019-09-02 15:20:00,16
2019-09-02 15:21:00,18
2019-09-02 15:22:00,11
2019-09-02 15:23:00,12
2019-09-02 15:24:00,12
2019-09-02 15:25:00,11
2019-09-02 15:26:00,14
2019-09-02 15:27:00,11
2019-09-02 15:28:00,10
2019-09-02 15:29:00,13
2019-09-02 15:30:00,16
2019-09-02 15:31:00,16
2019-09-02 15:32:00,16
2019-09-02 15:33:00,18
2019-09-02 15:34:00,19
2019-09-02 15:35:00,19
2019-09-02 15:36:00,17
2019-09-02 15:37:00,21
2019-09-02 15:38:00,24
2019-09-02 15:39:00,26
2019-09-02 15:40:00,27
2019-09-02 15:41:00,19
2019-09-02 15:42:00,18
2019-09-02 15:43:00,23
2019-09-02 15:44:00,17
2019-09-02 15:45:00,14
2019-09-02 15:46:00,22
2019-09-02 15:47:00,18
2019-09-02 15:48:00,20
2019-09-02 15:49:00,26
2019-09-02 15:50:00,23
2019-09-02 15:51:00,24
2019-09-02 15:52:00,24
2019-09-02 15:53:00,25
2019-09-02 15:54:00,20
2019-09-02 15:55:00,20
2019-09-02 15:56:00,24
2019-09-02 15:57:00,23
2019-09-02 15:58:00,23
2019-09-02 15:59:00,26
2019-09-02 16:00:00,27
2019-09-02 16:01:00,27
2019-09-02 16:02:00,31
2019-09-02 16:03:00,30
2019-09-02 16:04:00,26
2019-09-02 16:05:00,31
2019-09-02 16:06:00,22
2019-09-02 16:07:00,22
2019-09-02 16:08:00,20
2019-09-02 16:09:00,17
2019-09-02 16:10:00,21
2019-09-02 16:11:00,21
2019-09-02 16:12:00,17
2019-09-02 16:13:00,15
2019-09-02 16:14:00,17
2019-09-02 16:15:00,16
2019-09-02 16:16:00,21
2019-09-02 16:17:00,14
2019-09-02 16:18:00,17
2019-09-02 16:19:00,15
2019-09-02 16:20:00,15
2019-09-02 16:21:00,15
2019-09-02 16:22:00,12
2019-09-02 16:23:00,15
2019-09-02 16:24:00,17
2019-09-02 16:25:00,10
2019-09-02 16:26:00,11
2019-09-02 16:27:00,13
2019-09-02 16:28:00,11
2019-09-02 16:29:00,9
2019-09-02 16:30:00,13
2019-09-02 16:31:00,11
2019-09-02 16:32:00,11
2019-09-02 16:33:00,13
2019-09-02 16:34:00,11
2019-09-02 16:35:00,12
2019-09-02 16:36:00,11
2019-09-02 16:37:00,11
2019-09-02 16:38:00,11
2019-09-02 16:39:00,9
2019-09-02 16:40:00,11
2019-09-02 16:41:00,9
2019-09-02 16:42:00,10
2019-09-02 16:43:00,11
2019-09-02 16:44:00,10
2019-09-02 16:45:00,12
2019-09-02 16:46:00,12
2019-09-02 16:47:00,10
2019-09-02 16:48:00,9
2019-09-02 16:49:00,9
2019-09-02 16:50:00,11
2019-09-02 16:51:00,11
2019-09-02 16:52:00,9
2019-09-02 16:53:00,12
2019-09-02 16:54:00,12
2019-09-02 16:55:00,10
2019-09-02 16:56:00,7
2019-09-02 16:57:00,6
2019-09-02 16:58:00,6
2019-09-02 16:59:00,5
2019-09-02 17:00:00,5
2019-09-02 17:01:00,7
2019-09-02 17:02:00,6
2019-09-02 17:03:00,3
2019-09-02 17:04:00,6
2019-09-02 17:05:00,7
2019-09-02 17:06:00,8
2019-09-02 17:07:00,6
2019-09-02 17:08:00,6
2019-09-02 17:09:00,6
2019-09-02 17:10:00,6
2019-09-02 17:11:00,2
2019-09-02 17:12:00,7
2019-09-02 17:13:00,6
2019-09-02 17:14:00,4
2019-09-02 17:15:00,3
2019-09-02 17:16:00,3
2019-09-02 17:17:00,3
2019-09-02 17:18:00,3
2019-09-02 17:19:00,2
2019-09-02 17:20:00,1
2019-09-02 17:21:00,8
2019-09-02 17:22:00,7
