32,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-09-02 06:28:00,1
2019-09-02 06:31:00,3
2019-09-02 06:32:00,2
2019-09-02 06:45:00,2
2019-09-02 06:46:00,1
2019-09-02 06:55:00,4
2019-09-02 09:01:00,1
2019-09-02 09:23:00,1
2019-09-02 10:08:00,1
2019-09-02 15:02:00,1
2019-09-02 15:34:00,2
2019-09-02 15:35:00,2
2019-09-02 18:59:00,1
2019-09-02 19:38:00,3
2019-09-02 19:41:00,3
2019-09-02 22:23:00,3
2019-09-02 22:24:00,1
