3202,"SELECT g.objid,g.ra,g.dec,p.z,p.zErr,q.u,q.g,q.r,q.i,q.z FROM GALAXY as g JOIN PhotoZ as p ON p.objID = g.ObjID JOIN PhotoObjAll as q ON q.objID = g.objID WHERE (g.ra between # and #) and (g.dec between # and #)"
2019-09-02 03:46:00,1
2019-09-02 03:49:00,1
2019-09-02 03:59:00,1
2019-09-02 04:00:00,1
2019-09-02 04:23:00,1
2019-09-02 05:36:00,1
2019-09-02 07:11:00,1
2019-09-02 08:49:00,1
2019-09-02 09:09:00,1
2019-09-02 09:24:00,1
2019-09-02 09:26:00,1
2019-09-02 09:27:00,2
2019-09-02 09:29:00,1
2019-09-02 09:30:00,1
2019-09-02 09:32:00,1
2019-09-02 09:34:00,1
2019-09-02 09:38:00,2
2019-09-02 09:39:00,3
2019-09-02 09:40:00,3
2019-09-02 09:41:00,3
2019-09-02 09:42:00,7
2019-09-02 09:43:00,1
2019-09-02 09:51:00,2
2019-09-02 10:03:00,1
2019-09-02 10:07:00,1
2019-09-02 10:44:00,3
2019-09-02 10:45:00,14
2019-09-02 10:46:00,13
2019-09-02 10:47:00,13
2019-09-02 10:48:00,12
2019-09-02 10:49:00,12
2019-09-02 10:50:00,12
2019-09-02 10:51:00,15
2019-09-02 10:52:00,12
2019-09-02 10:53:00,13
2019-09-02 10:54:00,14
2019-09-02 10:55:00,13
2019-09-02 10:56:00,4
2019-09-02 11:32:00,1
2019-09-02 11:33:00,13
2019-09-02 11:34:00,14
2019-09-02 11:35:00,13
2019-09-02 11:36:00,13
2019-09-02 11:37:00,15
2019-09-02 11:38:00,15
2019-09-02 11:39:00,2
2019-09-02 11:40:00,11
2019-09-02 11:41:00,12
2019-09-02 11:42:00,12
2019-09-02 11:43:00,11
2019-09-02 11:44:00,15
2019-09-02 11:45:00,24
2019-09-02 11:46:00,2
2019-09-02 12:09:00,1
2019-09-02 12:10:00,1
2019-09-02 12:15:00,11
2019-09-02 12:16:00,11
2019-09-02 12:17:00,14
2019-09-02 12:18:00,14
2019-09-02 12:19:00,14
2019-09-02 12:20:00,3
2019-09-02 12:21:00,13
2019-09-02 12:22:00,14
2019-09-02 12:23:00,12
2019-09-02 12:24:00,14
2019-09-02 12:25:00,14
2019-09-02 12:26:00,14
2019-09-02 12:27:00,15
2019-09-02 12:28:00,19
2019-09-02 12:29:00,17
2019-09-02 12:58:00,10
2019-09-02 12:59:00,12
2019-09-02 13:00:00,13
2019-09-02 13:01:00,14
2019-09-02 13:02:00,8
2019-09-02 13:03:00,7
2019-09-02 13:04:00,16
2019-09-02 13:05:00,14
2019-09-02 13:06:00,14
2019-09-02 13:07:00,13
2019-09-02 13:08:00,16
2019-09-02 13:09:00,12
2019-09-02 13:10:00,12
2019-09-02 13:11:00,13
2019-09-02 13:12:00,18
2019-09-02 13:13:00,7
2019-09-02 13:14:00,1
2019-09-02 13:18:00,3
2019-09-02 13:19:00,8
2019-09-02 13:20:00,3
2019-09-02 13:21:00,1
2019-09-02 13:24:00,2
2019-09-02 13:25:00,9
2019-09-02 13:26:00,23
2019-09-02 13:27:00,18
2019-09-02 13:28:00,13
2019-09-02 13:29:00,14
2019-09-02 13:30:00,15
2019-09-02 13:31:00,13
2019-09-02 13:32:00,16
2019-09-02 13:33:00,13
2019-09-02 13:34:00,8
2019-09-02 13:35:00,4
2019-09-02 13:36:00,16
2019-09-02 13:37:00,18
2019-09-02 13:38:00,23
2019-09-02 13:39:00,19
2019-09-02 13:40:00,29
2019-09-02 13:41:00,1
2019-09-02 13:43:00,4
2019-09-02 13:44:00,1
2019-09-02 13:52:00,11
2019-09-02 13:53:00,13
2019-09-02 13:54:00,14
2019-09-02 13:55:00,12
2019-09-02 13:56:00,13
2019-09-02 13:57:00,15
2019-09-02 13:58:00,16
2019-09-02 13:59:00,17
2019-09-02 14:00:00,11
2019-09-02 14:01:00,7
2019-09-02 14:02:00,15
2019-09-02 14:03:00,15
2019-09-02 14:04:00,19
2019-09-02 14:05:00,15
2019-09-02 14:06:00,13
2019-09-02 14:07:00,9
2019-09-02 14:21:00,7
2019-09-02 14:22:00,14
2019-09-02 14:23:00,16
2019-09-02 14:24:00,16
2019-09-02 14:25:00,18
2019-09-02 14:26:00,17
2019-09-02 14:27:00,18
2019-09-02 14:28:00,18
2019-09-02 14:29:00,20
2019-09-02 14:30:00,25
2019-09-02 14:31:00,29
2019-09-02 14:32:00,19
2019-09-02 14:33:00,18
2019-09-02 14:34:00,21
2019-09-02 14:35:00,10
2019-09-02 14:42:00,1
2019-09-02 14:49:00,18
2019-09-02 14:50:00,14
2019-09-02 14:51:00,16
2019-09-02 14:52:00,13
2019-09-02 14:53:00,14
2019-09-02 14:54:00,14
2019-09-02 14:55:00,14
2019-09-02 14:56:00,13
2019-09-02 14:57:00,18
2019-09-02 14:58:00,15
2019-09-02 14:59:00,14
2019-09-02 15:00:00,14
2019-09-02 15:01:00,16
2019-09-02 15:02:00,14
2019-09-02 15:03:00,13
2019-09-02 15:04:00,11
2019-09-02 15:17:00,12
2019-09-02 15:18:00,11
2019-09-02 15:19:00,11
2019-09-02 15:20:00,11
2019-09-02 15:21:00,13
2019-09-02 15:22:00,13
2019-09-02 15:23:00,16
2019-09-02 15:24:00,20
2019-09-02 15:25:00,14
2019-09-02 15:26:00,15
2019-09-02 15:27:00,16
2019-09-02 15:28:00,14
2019-09-02 15:29:00,14
2019-09-02 15:30:00,12
2019-09-02 15:31:00,14
2019-09-02 15:32:00,12
2019-09-02 15:33:00,3
2019-09-02 15:47:00,8
2019-09-02 15:48:00,11
2019-09-02 15:49:00,11
2019-09-02 15:50:00,10
2019-09-02 15:51:00,11
2019-09-02 15:52:00,11
2019-09-02 15:53:00,14
2019-09-02 15:54:00,15
2019-09-02 15:55:00,12
2019-09-02 15:56:00,12
2019-09-02 15:57:00,18
2019-09-02 15:58:00,17
2019-09-02 15:59:00,14
2019-09-02 16:00:00,15
2019-09-02 16:01:00,13
2019-09-02 16:02:00,15
2019-09-02 16:03:00,12
2019-09-02 16:04:00,12
2019-09-02 16:05:00,12
2019-09-02 16:06:00,3
2019-09-02 16:23:00,6
2019-09-02 16:24:00,8
2019-09-02 16:25:00,5
2019-09-02 16:26:00,7
2019-09-02 16:27:00,6
2019-09-02 16:28:00,3
2019-09-02 16:29:00,6
2019-09-02 16:30:00,4
2019-09-02 16:31:00,5
2019-09-02 16:32:00,5
2019-09-02 16:33:00,8
2019-09-02 16:34:00,6
2019-09-02 16:35:00,9
2019-09-02 16:36:00,8
2019-09-02 16:37:00,5
2019-09-02 16:38:00,6
2019-09-02 16:39:00,2
2019-09-02 16:40:00,5
2019-09-02 16:41:00,8
2019-09-02 16:42:00,6
2019-09-02 16:43:00,6
2019-09-02 16:44:00,4
2019-09-02 16:45:00,6
2019-09-02 16:47:00,1
2019-09-02 16:48:00,1
2019-09-02 16:49:00,1
2019-09-02 17:02:00,1
2019-09-02 17:03:00,3
2019-09-02 17:04:00,5
2019-09-02 17:05:00,3
2019-09-02 17:06:00,9
2019-09-02 17:07:00,10
2019-09-02 17:08:00,6
2019-09-02 17:09:00,10
2019-09-02 17:10:00,6
2019-09-02 17:11:00,7
2019-09-02 17:12:00,7
2019-09-02 17:13:00,8
2019-09-02 17:14:00,8
2019-09-02 17:15:00,7
2019-09-02 17:16:00,3
2019-09-02 17:17:00,2
2019-09-02 17:18:00,1
2019-09-02 17:19:00,5
2019-09-02 17:20:00,2
2019-09-02 17:21:00,1
2019-09-02 17:22:00,5
2019-09-02 17:23:00,5
2019-09-02 17:24:00,9
2019-09-02 17:25:00,6
2019-09-02 17:26:00,4
2019-09-02 17:28:00,2
2019-09-02 17:29:00,1
2019-09-02 17:45:00,10
2019-09-02 17:46:00,15
2019-09-02 17:47:00,16
2019-09-02 17:48:00,18
2019-09-02 17:49:00,19
2019-09-02 17:50:00,18
2019-09-02 17:51:00,18
2019-09-02 17:52:00,19
2019-09-02 17:53:00,19
2019-09-02 17:54:00,6
2019-09-02 17:55:00,7
2019-09-02 17:56:00,16
2019-09-02 17:57:00,17
2019-09-02 17:58:00,11
2019-09-02 18:03:00,1
2019-09-02 18:04:00,5
2019-09-02 18:12:00,6
2019-09-02 18:13:00,15
2019-09-02 18:14:00,16
2019-09-02 18:15:00,19
2019-09-02 18:16:00,13
2019-09-02 18:17:00,19
2019-09-02 18:18:00,12
2019-09-02 18:19:00,14
2019-09-02 18:20:00,13
2019-09-02 18:21:00,15
2019-09-02 18:22:00,16
2019-09-02 18:23:00,15
2019-09-02 18:24:00,12
