2,"SELECT     p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z,    s.specobjid, s.class, s.z as redshift,    w.w1mpro as w1, w.w2mpro as w2 FROM WISE_xmatch as xm     JOIN PhotoObjAll AS p on xm.sdss_objid = p.objid    JOIN SpecObjAll AS s ON s.bestobjid = p.objid    JOIN WISE_allsky AS w on xm.wise_cntr = w.cntr WHERE     s.class = &&&"
2019-09-02 03:16:00,1
2019-09-02 03:18:00,1
