4,"SELECT s.plate,s.mjd,s.fiberid, s.TEFFADOP,s.TEFFADOPUNC,s.LOGGADOP,s.LOGGADOPUNC, s.FEHADOP,s.FEHADOPUNC,s.snr, s.ELODIERVFINAL,s.ELODIERVFINALERR ,dbo.fCalibStatusN(p.calibstatus_r) FROM PhotoObj as p JOIN sppParams s ON p.objID = s.bestObjID INTO mydb.p2# WHERE s.plate = #"
2019-09-02 04:23:00,3
2019-09-02 04:25:00,1
