2,"SELECT s.ra, s.dec, s.secTarget FROM SpecObj s JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS N on N.SpecobjID=s.SpecobjID  WHERE (s.secTarget & #)>#"
2019-09-02 16:36:00,1
2019-09-02 16:44:00,1
