12,"SELECT t.objid, s.ra, s.dec, t.psfMag_r FROM SpecObj s JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  JOIN Star as t on s.bestobjid = t.objid WHERE s.zWarning = # AND ((dbo.fSourceType(&&&)) != #) AND t.psfMAG_r<#"
2019-09-02 23:29:00,1
2019-09-02 23:31:00,1
2019-09-02 23:32:00,1
2019-09-02 23:34:00,1
2019-09-02 23:35:00,1
2019-09-02 23:36:00,1
2019-09-02 23:37:00,1
2019-09-02 23:38:00,1
2019-09-02 23:39:00,1
2019-09-02 23:50:00,1
2019-09-02 23:52:00,2
