108,"SELECT p.objid, p.ra, p.dec, f.fieldid, p.field, p.InsideMask, p.u, p.err_u, p.g, p.err_g, p.r, p.err_r, p.i, p.err_i, p.z, p.err_z, p.type, f.quality, p.specObjID FROM PhotoPrimary AS p JOIN Field AS f ON f.fieldid = p.fieldid WHERE (clean = #) AND ((f.quality = #) OR (f.quality = #)) AND (p.type = dbo.fPhotoType(&&&) OR p.type = dbo.fPhotoType(&&&)) AND (p.ra BETWEEN # AND #) AND p.dec BETWEEN # AND # AND ((p.InsideMask = #) OR (p.InsideMask = #) OR (p.InsideMask = #)) AND (#/p.err_u > #) AND (#/p.err_g > #) AND (#/p.err_r > #) AND (#/p.err_i > #) AND (#/p.err_z > #)"
2019-09-02 08:31:00,1
2019-09-02 08:32:00,4
2019-09-02 08:33:00,1
2019-09-02 08:40:00,4
2019-09-02 08:41:00,2
2019-09-02 08:59:00,3
2019-09-02 09:00:00,3
2019-09-02 09:05:00,5
2019-09-02 09:06:00,1
2019-09-02 09:14:00,3
2019-09-02 09:15:00,3
2019-09-02 09:22:00,1
2019-09-02 09:23:00,4
2019-09-02 09:24:00,1
2019-09-02 10:58:00,3
2019-09-02 10:59:00,3
2019-09-02 11:07:00,2
2019-09-02 11:08:00,4
2019-09-02 11:12:00,1
2019-09-02 11:13:00,4
2019-09-02 11:14:00,1
2019-09-02 11:26:00,2
2019-09-02 11:27:00,4
2019-09-02 11:37:00,2
2019-09-02 11:38:00,4
2019-09-02 11:42:00,1
2019-09-02 11:43:00,4
2019-09-02 11:44:00,1
2019-09-02 11:47:00,1
2019-09-02 11:48:00,4
2019-09-02 11:49:00,1
2019-09-02 14:37:00,2
2019-09-02 14:38:00,4
2019-09-02 15:02:00,1
2019-09-02 15:03:00,3
2019-09-02 15:04:00,2
2019-09-02 17:33:00,5
2019-09-02 17:34:00,1
2019-09-02 17:41:00,2
2019-09-02 17:42:00,4
2019-09-02 17:47:00,2
2019-09-02 17:48:00,4
