295,"select s.ObjID,s.class,s.subclass,s.z,s.zErr,s.type from SpecPhoto s, dbo.fGetNearbyObjEq(#,#,#) n where s.ObjID = n.ObjID AND s.mode = #"
2019-04-26 03:48:00,1
2019-04-26 03:52:00,1
2019-04-26 03:54:00,1
2019-04-26 03:57:00,1
2019-04-26 04:01:00,1
2019-04-26 04:05:00,1
2019-04-26 04:07:00,1
2019-04-26 04:10:00,1
2019-04-26 04:12:00,1
2019-04-26 04:16:00,1
2019-04-26 04:19:00,1
2019-04-26 04:21:00,1
2019-04-26 04:23:00,1
2019-04-26 04:27:00,1
2019-04-26 04:30:00,1
2019-04-26 04:32:00,1
2019-04-26 04:35:00,1
2019-04-26 04:37:00,1
2019-04-26 04:40:00,1
2019-04-26 04:42:00,1
2019-04-26 04:45:00,1
2019-04-26 04:47:00,1
2019-04-26 04:49:00,1
2019-04-26 04:52:00,1
2019-04-26 04:54:00,1
2019-04-26 04:56:00,1
2019-04-26 04:58:00,1
2019-04-26 05:01:00,1
2019-04-26 05:03:00,1
2019-04-26 05:06:00,1
2019-04-26 05:08:00,1
2019-04-26 05:10:00,1
2019-04-26 05:13:00,1
2019-04-26 05:15:00,1
2019-04-26 05:17:00,1
2019-04-26 05:19:00,1
2019-04-26 05:21:00,1
2019-04-26 05:22:00,1
2019-04-26 05:25:00,1
2019-04-26 05:27:00,1
2019-04-26 05:29:00,1
2019-04-26 05:31:00,1
2019-04-26 05:32:00,1
2019-04-26 05:34:00,1
2019-04-26 05:36:00,1
2019-04-26 05:38:00,1
2019-04-26 05:40:00,1
2019-04-26 05:42:00,1
2019-04-26 05:45:00,1
2019-04-26 05:46:00,1
2019-04-26 05:48:00,1
2019-04-26 05:51:00,1
2019-04-26 05:52:00,1
2019-04-26 05:54:00,1
2019-04-26 05:57:00,1
2019-04-26 06:00:00,1
2019-04-26 06:04:00,1
2019-04-26 06:08:00,1
2019-04-26 06:10:00,1
2019-04-26 06:12:00,1
2019-04-26 06:14:00,1
2019-04-26 06:17:00,1
2019-04-26 06:19:00,1
2019-04-26 06:22:00,1
2019-04-26 06:24:00,1
2019-04-26 06:26:00,1
2019-04-26 06:28:00,1
2019-04-26 06:30:00,1
2019-04-26 06:32:00,1
2019-04-26 06:34:00,1
2019-04-26 06:36:00,1
2019-04-26 06:38:00,1
2019-04-26 06:41:00,1
2019-04-26 06:43:00,1
2019-04-26 06:45:00,1
2019-04-26 06:47:00,1
2019-04-26 06:49:00,1
2019-04-26 06:51:00,1
2019-04-26 06:53:00,1
