301,"SELECT   p.objid,p.ra,p.dec,p.r,   s.specobjid,s.z,   dbo.fSpecZWarningN(s.zWarning) as warning,   s.plate, s.mjd, s.fiberid   FROM PhotoObj AS p   JOIN SpecObj AS s ON s.bestobjid = p.objid   WHERE   p.ra < #+# and p.ra > #-#   AND p.dec < #+# and p.dec > #-#"
2019-04-26 12:16:00,1
2019-04-26 12:17:00,1
2019-04-26 12:18:00,2
2019-04-26 12:19:00,1
2019-04-26 12:20:00,4
2019-04-26 12:21:00,4
2019-04-26 12:30:00,6
2019-04-26 12:31:00,4
2019-04-26 12:32:00,5
2019-04-26 12:33:00,7
2019-04-26 12:34:00,4
2019-04-26 12:35:00,4
2019-04-26 12:36:00,10
2019-04-26 12:37:00,4
2019-04-26 12:38:00,8
2019-04-26 12:39:00,4
2019-04-26 12:40:00,8
2019-04-26 12:41:00,4
2019-04-26 12:42:00,6
2019-04-26 12:43:00,6
2019-04-26 12:44:00,6
2019-04-26 12:45:00,6
2019-04-26 12:46:00,7
2019-04-26 12:47:00,1
2019-04-26 12:55:00,6
2019-04-26 12:56:00,11
2019-04-26 12:57:00,5
2019-04-26 12:58:00,4
2019-04-26 12:59:00,8
2019-04-26 13:00:00,4
2019-04-26 13:01:00,5
2019-04-26 13:02:00,7
2019-04-26 13:03:00,4
2019-04-26 13:04:00,6
2019-04-26 13:05:00,6
2019-04-26 13:06:00,4
2019-04-26 13:07:00,7
2019-04-26 13:08:00,5
2019-04-26 13:09:00,7
2019-04-26 13:10:00,5
2019-04-26 13:11:00,4
2019-04-26 13:12:00,6
2019-04-26 13:13:00,6
2019-04-26 13:14:00,6
2019-04-26 13:15:00,5
2019-04-26 13:16:00,7
2019-04-26 13:17:00,5
2019-04-26 13:18:00,7
2019-04-26 13:19:00,5
2019-04-26 13:20:00,7
2019-04-26 13:21:00,7
2019-04-26 13:22:00,5
2019-04-26 13:23:00,5
2019-04-26 13:24:00,8
2019-04-26 13:25:00,7
2019-04-26 13:26:00,4
