31,"select TwoMASS.OBJID, t.w1mag, t.w2mag, t.w3mag, t.w4mag from WISE_allsky t, TwoMASS where t.tmass_key=TwoMASS.ptsKey and TwoMASS.OBJID=#"
2019-04-26 15:11:00,1
2019-04-26 15:14:00,1
2019-04-26 15:23:00,1
2019-04-26 15:25:00,1
2019-04-26 15:28:00,1
2019-04-26 15:31:00,1
2019-04-26 15:54:00,1
2019-04-26 15:59:00,1
2019-04-26 16:00:00,1
2019-04-26 16:18:00,2
2019-04-26 16:23:00,2
2019-04-26 16:24:00,5
2019-04-26 16:28:00,2
2019-04-26 16:32:00,2
2019-04-26 16:38:00,1
2019-04-26 16:42:00,2
2019-04-26 16:43:00,3
2019-04-26 16:47:00,3
