31,"SELECT up_id,  dbo.fGetNearestObjIdEq( up_ra,up_dec,up_sep ) as objId   FROM #upload  WHERE  dbo.fGetNearestObjIdEq( up_ra,up_dec,up_sep ) IS NOT NULL  SELECT TOP #   p.ra,p.dec, p.run,p.rerun,p.camCol,p.field,p.obj  FROM ..PhotoObj AS p  JOIN #x AS x ON x.objID=p.objID  JOIN #upload AS u ON u.up_id = x.up_id   WHERE  ( p.type = # OR p.type = #)   ORDER BY x.up_id"
2019-04-26 01:31:00,1
2019-04-26 07:02:00,1
2019-04-26 07:06:00,2
2019-04-26 07:09:00,1
2019-04-26 07:31:00,1
2019-04-26 07:57:00,1
2019-04-26 08:29:00,2
2019-04-26 08:32:00,1
2019-04-26 08:33:00,1
2019-04-26 09:54:00,1
2019-04-26 09:55:00,2
2019-04-26 09:56:00,2
2019-04-26 09:57:00,2
2019-04-26 09:58:00,2
2019-04-26 09:59:00,1
2019-04-26 10:00:00,2
2019-04-26 10:09:00,1
2019-04-26 10:10:00,2
2019-04-26 10:11:00,4
2019-04-26 10:12:00,1
