66,"select P.objID, P.ra, P.dec , P.u, P.g, P.r, P.i, P.z, P.type from PhotoPrimary as P , dbo.fGetNearbyObjEq(#, #, # ) N where P.objID = N.objID"
2019-04-26 03:15:00,1
2019-04-26 03:16:00,2
2019-04-26 03:17:00,1
2019-04-26 03:18:00,1
2019-04-26 06:33:00,1
2019-04-26 09:30:00,1
2019-04-26 12:10:00,5
2019-04-26 12:11:00,11
2019-04-26 12:12:00,9
2019-04-26 12:13:00,10
2019-04-26 12:14:00,1
2019-04-26 15:00:00,1
2019-04-26 15:01:00,2
2019-04-26 15:02:00,2
2019-04-26 15:19:00,2
2019-04-26 15:20:00,3
2019-04-26 15:21:00,4
2019-04-26 15:22:00,2
2019-04-26 15:23:00,3
2019-04-26 15:24:00,3
2019-04-26 15:25:00,1
